fin_source,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
OFLOW_OTH,DK,-3 ,-4 ,-3 ,36 ,30 ,11 ,27 ,21 ,-1 ,167 ,8 ,31 ,-93 ,86 ,-80 ,101 ,-84 ,-49 ,201 ,230 ,7 ,: 
OFLOW_OTH,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,: ,: 
OFLOW_OTH,EL,0 ,: ,: ,: ,3 ,: ,7 ,3 ,1 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,: ,: 
OFLOW_OTH,ES,4 ,163 ,58 ,71 ,20 ,54 ,: ,5 ,: ,2 ,: ,3 ,2 ,106 ,3 ,5 ,91 ,73 ,141 ,: ,: ,: 
OFLOW_OTH,EU27_2020,236 ,-210 ,6136 ,3723 ,1047 ,8431 ,-2038 ,214 ,1910 ,1174 ,468 ,693 ,544 ,1014 ,652 ,1737 ,305 ,-51 ,134 ,733 ,142 ,: 
OFLOW_OTH,FI,2 ,9 ,3 ,6 ,-2 ,: ,: ,16 ,15 ,41 ,33 ,-8 ,9 ,-23 ,8 ,19 ,44 ,61 ,67 ,24 ,48 ,: 
OFLOW_OTH,FR,15 ,-43 ,672 ,3310 ,-174 ,-1117 ,17 ,-85 ,220 ,407 ,379 ,627 ,539 ,594 ,512 ,378 ,111 ,-16 ,-176 ,222 ,-351 ,: 
OFLOW_OTH,IT,112 ,69 ,267 ,364 ,1625 ,74 ,127 ,101 ,700 ,31 ,7 ,129 ,153 ,121 ,72 ,39 ,46 ,98 ,31 ,18 ,94 ,: 
OFLOW_OTH,LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,: ,: ,: ,: ,: ,: 
OFLOW_OTH,NL,144 ,135 ,242 ,795 ,121 ,123 ,273 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
OFLOW_OTH,NO,: ,: ,: ,0 ,0 ,4 ,4 ,4 ,0 ,0 ,0 ,: ,0 ,0 ,-34 ,256 ,-86 ,-110 ,262 ,54 ,89 ,: 
OFLOW_OTH,PL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,-1 ,0 ,20 ,6 ,: ,: 
OFLOW_OTH,PT,84 ,-1 ,-1 ,-2 ,-209 ,-2 ,-16 ,-173 ,: ,: ,: ,0 ,2 ,2 ,1 ,0 ,1 ,0 ,-9 ,4 ,15 ,: 
OFLOW_OTH,RO,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,60 ,: ,: ,: ,: ,: 
OFLOW_OTH,SE,0 ,1 ,2 ,11 ,-51 ,20 ,51 ,20 ,21 ,51 ,0 ,23 ,-38 ,-18 ,-22 ,41 ,22 ,6 ,21 ,23 ,-17 ,: 
OFLOW_OTH,SI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,4 ,: ,0 ,: 
OFLOW_OTH,SK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,-3 ,: 
OFLOW_OTH,TR,64 ,: ,: ,36 ,609 ,295 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,0 ,0 ,: ,: ,212 ,: ,: ,: 
OFLOW_OTH,UK,-78 ,25 ,-4 ,44 ,-125 ,-79 ,-51 ,-31 ,-15 ,218 ,-14 ,-29 ,28 ,140 ,31 ,: ,: ,-326 ,-434 ,-358 ,-743 ,: 
TOTAL,AT,1229 ,934 ,2020 ,1277 ,1087 ,3888 ,2751 ,14889 ,7364 ,2347 ,4806 ,5801 ,3734 ,786 ,2616 ,4229 ,2936 ,1995 ,2189 ,2449 ,-80 ,: 
TOTAL,BE,2469 ,339 ,1414 ,1079 ,656 ,2526 ,4228 ,2786 ,3009 ,2312 ,5956 ,852 ,2104 ,7693 ,6567 ,3276 ,-10328 ,6841 ,3299 ,3855 ,3664 ,: 
TOTAL,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,37 ,37 ,: ,: ,: ,: ,: ,: ,: 
TOTAL,CH,1911 ,1714 ,1695 ,2851 ,1131 ,6513 ,9999 ,4251 ,8326 ,6347 ,17685 ,9252 ,11163 ,10009 ,9582 ,5875 ,4732 ,14890 ,16005 ,9921 ,2852 ,: 
TOTAL,CZ,17 ,30 ,48 ,80 ,87 ,109 ,128 ,131 ,169 ,154 ,172 ,180 ,171 ,159 ,80 ,237 ,202 ,109 ,109 ,255 ,260 ,: 
TOTAL,DE,13351 ,7085 ,7622 ,4618 ,12260 ,24663 ,20701 ,26807 ,24291 ,20885 ,31407 ,40375 ,27021 ,39979 ,39897 ,42926 ,44447 ,47569 ,44016 ,37689 ,39136 ,: 
TOTAL,DK,2356 ,2953 ,1667 ,1676 ,2117 ,1780 ,2139 ,3507 ,3502 ,2693 ,3616 ,2024 ,1868 ,3291 ,3157 ,2642 ,3005 ,5293 ,4847 ,2788 ,3084 ,: 
TOTAL,EL,247 ,225 ,341 ,356 ,264 ,570 ,2306 ,2475 ,793 ,610 ,574 ,348 ,706 ,654 ,-329 ,-76 ,-1800 ,322 ,221 ,330 ,393 ,: 
TOTAL,ES,25412 ,12867 ,8641 ,5894 ,10259 ,5467 ,8877 ,15806 ,20456 ,9186 ,7800 ,14472 ,1539 ,6014 ,10289 ,19866 ,4257 ,7720 ,12237 ,12114 ,12150 ,: 
TOTAL,EU27_2020,81803 ,46557 ,30749 ,42653 ,58261 ,83117 ,95921 ,127529 ,91245 ,84484 ,108002 ,120126 ,98568 ,106666 ,148076 ,161733 ,126932 ,149957 ,108828 ,131373 ,101568 ,: 
TOTAL,FI,1177 ,1490 ,-190 ,-39 ,1076 ,1320 ,1125 ,1568 ,-151 ,2283 ,3252 ,730 ,1189 ,750 ,2278 ,-44 ,1681 ,3279 ,1945 ,2007 ,2287 ,: 
