sitc06,partner,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
TOTAL,LDC,MIO_EUR,CY,3 ,3 ,3 ,4 ,4 ,4 ,15 ,4 ,12 ,5 ,5 ,6 ,7 ,5 ,190 ,190 ,38 ,23 ,40 ,68 ,93 ,83 
TOTAL,LDC,MIO_EUR,CZ,37 ,37 ,32 ,39 ,39 ,30 ,38 ,33 ,30 ,32 ,43 ,60 ,83 ,110 ,141 ,175 ,172 ,188 ,177 ,165 ,175 ,191 
TOTAL,LDC,MIO_EUR,DE,1954 ,2226 ,1932 ,2514 ,2652 ,2420 ,3193 ,3640 ,3201 ,3356 ,3363 ,5104 ,4497 ,4727 ,4794 ,5938 ,6262 ,6839 ,6875 ,7072 ,6501 ,7770 
TOTAL,LDC,MIO_EUR,DK,125 ,138 ,189 ,144 ,383 ,142 ,160 ,191 ,184 ,183 ,353 ,363 ,438 ,411 ,522 ,624 ,735 ,821 ,898 ,1041 ,894 ,1076 
TOTAL,LDC,MIO_EUR,EE,4 ,3 ,4 ,4 ,3 ,0 ,2 ,1 ,3 ,4 ,2 ,7 ,9 ,2 ,2 ,4 ,3 ,3 ,12 ,5 ,3 ,8 
TOTAL,LDC,MIO_EUR,EL,150 ,202 ,115 ,160 ,139 ,80 ,118 ,94 ,121 ,201 ,259 ,183 ,159 ,120 ,232 ,151 ,125 ,161 ,188 ,258 ,193 ,299 
TOTAL,LDC,MIO_EUR,ES,1448 ,1477 ,1525 ,1362 ,1629 ,2216 ,2441 ,2591 ,4413 ,2166 ,2697 ,3759 ,4014 ,5285 ,5765 ,5707 ,4940 ,5407 ,5981 ,6413 ,5176 ,5618 
TOTAL,LDC,MIO_EUR,EU27_2020,11129 ,12830 ,12444 ,11362 ,12092 ,14924 ,15743 ,18860 ,22723 ,17268 ,20424 ,28047 ,28997 ,31207 ,33101 ,34939 ,32170 ,33261 ,35973 ,38068 ,31294 ,35106 
TOTAL,LDC,MIO_EUR,EU28,12582 ,14578 ,14180 ,13278 ,14433 ,16672 ,17744 ,20997 ,25173 ,19396 ,22460 ,31267 ,33210 ,36456 ,38435 ,40508 ,36938 ,37935 ,40521 ,42916 ,: ,: 
TOTAL,LDC,MIO_EUR,FI,166 ,153 ,141 ,114 ,262 ,141 ,160 ,205 ,281 ,113 ,218 ,238 ,217 ,205 ,253 ,253 ,236 ,516 ,806 ,287 ,241 ,471 
TOTAL,LDC,MIO_EUR,FR,1928 ,2589 ,2382 ,2201 ,2342 ,3559 ,3058 ,4032 ,5195 ,4276 ,3815 ,4312 ,5316 ,4868 ,5065 ,5141 ,4410 ,4157 ,4161 ,4589 ,4029 ,4162 
TOTAL,LDC,MIO_EUR,HR,39 ,16 ,18 ,13 ,14 ,16 ,23 ,26 ,29 ,31 ,34 ,55 ,69 ,45 ,18 ,22 ,36 ,38 ,27 ,110 ,33 ,29 
TOTAL,LDC,MIO_EUR,HU,50 ,40 ,34 ,36 ,23 ,26 ,18 ,12 ,7 ,7 ,8 ,13 ,13 ,8 ,7 ,8 ,11 ,13 ,22 ,36 ,26 ,24 
TOTAL,LDC,MIO_EUR,IE,131 ,162 ,136 ,108 ,121 ,129 ,123 ,129 ,110 ,136 ,188 ,183 ,212 ,308 ,206 ,342 ,309 ,288 ,294 ,326 ,279 ,388 
TOTAL,LDC,MIO_EUR,IT,873 ,1100 ,1348 ,1238 ,1100 ,1314 ,1703 ,1888 ,2379 ,1486 ,2466 ,4833 ,3430 ,3303 ,3794 ,4071 ,3476 ,3624 ,3775 ,4031 ,3303 ,3842 
TOTAL,LDC,MIO_EUR,LT,3 ,6 ,23 ,5 ,5 ,5 ,5 ,4 ,4 ,9 ,12 ,36 ,52 ,33 ,24 ,33 ,25 ,13 ,14 ,11 ,14 ,16 
TOTAL,LDC,MIO_EUR,LU,5 ,13 ,15 ,12 ,9 ,8 ,7 ,7 ,9 ,8 ,10 ,16 ,15 ,23 ,25 ,40 ,20 ,0 ,0 ,0 ,3 ,7 
TOTAL,LDC,MIO_EUR,LV,1 ,2 ,1 ,1 ,1 ,1 ,1 ,2 ,1 ,1 ,1 ,3 ,3 ,11 ,5 ,5 ,5 ,5 ,5 ,4 ,4 ,5 
TOTAL,LDC,MIO_EUR,MT,1 ,1 ,1 ,2 ,1 ,1 ,2 ,2 ,1 ,1 ,19 ,2 ,2 ,2 ,2 ,3 ,3 ,25 ,3 ,3 ,3 ,5 
TOTAL,LDC,MIO_EUR,NL,832 ,1022 ,838 ,804 ,766 ,1203 ,1142 ,2126 ,3096 ,2071 ,2890 ,3581 ,3845 ,4446 ,5160 ,4927 ,4628 ,4767 ,5209 ,4863 ,3471 ,3969 
TOTAL,LDC,MIO_EUR,PL,79 ,186 ,163 ,167 ,123 ,112 ,253 ,284 ,219 ,286 ,449 ,342 ,315 ,564 ,427 ,716 ,723 ,777 ,1085 ,1705 ,1516 ,1969 
TOTAL,LDC,MIO_EUR,PT,299 ,354 ,344 ,207 ,188 ,554 ,639 ,993 ,908 ,510 ,899 ,1509 ,2421 ,3059 ,2057 ,1613 ,1145 ,952 ,1206 ,1446 ,702 ,413 
TOTAL,LDC,MIO_EUR,RO,20 ,25 ,38 ,31 ,43 ,51 ,43 ,37 ,21 ,38 ,83 ,92 ,102 ,109 ,104 ,177 ,141 ,131 ,132 ,128 ,98 ,130 
TOTAL,LDC,MIO_EUR,SE,164 ,167 ,153 ,163 ,188 ,182 ,202 ,208 ,323 ,570 ,257 ,381 ,452 ,396 ,469 ,563 ,604 ,651 ,661 ,872 ,653 ,723 
TOTAL,LDC,MIO_EUR,SI,12 ,18 ,15 ,17 ,19 ,17 ,15 ,15 ,13 ,25 ,60 ,71 ,65 ,69 ,87 ,110 ,94 ,107 ,126 ,122 ,169 ,273 
TOTAL,LDC,MIO_EUR,SK,5 ,4 ,6 ,7 ,4 ,5 ,22 ,29 ,25 ,40 ,40 ,50 ,55 ,63 ,83 ,87 ,105 ,143 ,161 ,168 ,127 ,127 
TOTAL,LDC,MIO_EUR,UK,1452 ,1749 ,1736 ,1916 ,2340 ,1748 ,2000 ,2138 ,2450 ,2128 ,2036 ,3220 ,4213 ,5249 ,5334 ,5569 ,4768 ,4674 ,4548 ,4848 ,: ,: 
TOTAL,LMIC,MIO_EUR,AT,1514 ,1419 ,1493 ,1989 ,2506 ,2849 ,2745 ,3643 ,3592 ,2332 ,2855 ,3136 ,3414 ,4451 ,3648 ,3596 ,4019 ,5417 ,5809 ,5454 ,4568 ,4857 
TOTAL,LMIC,MIO_EUR,BE,5776 ,5633 ,5992 ,6976 ,8396 ,9252 ,10570 ,11123 ,12373 ,9453 ,11997 ,10638 ,9797 ,9849 ,10181 ,10766 ,11222 ,12353 ,12639 ,12956 ,11778 ,15495 
TOTAL,LMIC,MIO_EUR,BG,159 ,160 ,217 ,864 ,1065 ,1222 ,1654 ,2632 ,3011 ,1540 ,1761 ,1466 ,1176 ,1216 ,1304 ,1260 ,1400 ,1855 ,2103 ,2349 ,2089 ,2231 
TOTAL,LMIC,MIO_EUR,CY,234 ,260 ,237 ,312 ,168 ,137 ,430 ,416 ,380 ,217 ,269 ,254 ,170 ,145 ,184 ,229 ,194 ,325 ,241 ,242 ,212 ,268 
TOTAL,LMIC,MIO_EUR,CZ,608 ,664 ,1013 ,1188 ,1055 ,884 ,2155 ,2290 ,2676 ,1745 ,3127 ,1682 ,1575 ,1594 ,1605 ,1611 ,1674 ,1939 ,2110 ,2405 ,2210 ,3250 
TOTAL,LMIC,MIO_EUR,DE,16202 ,15294 ,14557 ,20597 ,22041 ,23873 ,25171 ,28516 ,24956 ,19853 ,25437 ,27659 ,27792 ,27090 ,26907 ,28206 ,27015 ,29309 ,31996 ,32279 ,29448 ,32924 
TOTAL,LMIC,MIO_EUR,DK,510 ,472 ,457 ,1020 ,1126 ,1346 ,1185 ,1391 ,2024 ,1447 ,1736 ,1348 ,1404 ,1955 ,1771 ,1728 ,1559 ,1682 ,1837 ,1955 ,1847 ,2264 
TOTAL,LMIC,MIO_EUR,EE,59 ,55 ,78 ,104 ,87 ,70 ,322 ,368 ,175 ,82 ,125 ,179 ,279 ,165 ,125 ,124 ,159 ,180 ,236 ,229 ,197 ,268 
TOTAL,LMIC,MIO_EUR,EL,2654 ,2486 ,1844 ,2554 ,3256 ,3851 ,4181 ,5417 ,5464 ,3800 ,3922 ,2839 ,3174 ,5151 ,1857 ,1693 ,1678 ,1867 ,1940 ,2369 ,2054 ,3315 
TOTAL,LMIC,MIO_EUR,ES,10148 ,10012 ,9527 ,11286 ,14103 ,17733 ,21251 ,22694 ,25860 ,18127 ,23118 ,22141 ,24408 ,20129 ,20687 ,20003 ,20080 ,24101 ,26485 ,26650 ,22147 ,27820 
TOTAL,LMIC,MIO_EUR,EU27_2020,94221 ,89993 ,86603 ,104316 ,121855 ,145062 ,172376 ,187557 ,188179 ,136486 ,176112 ,153808 ,160158 ,153509 ,145518 ,146808 ,142322 ,165539 ,188958 ,197645 ,172481 ,216869 
TOTAL,LMIC,MIO_EUR,EU28,110280 ,107006 ,103870 ,122840 ,141165 ,164306 ,190318 ,204234 ,205476 ,150782 ,193385 ,172567 ,181434 ,174421 ,166436 ,170273 ,164810 ,188823 ,214392 ,224781 ,: ,: 
TOTAL,LMIC,MIO_EUR,FI,448 ,513 ,493 ,692 ,826 ,905 ,1560 ,1584 ,922 ,653 ,979 ,955 ,610 ,705 ,608 ,494 ,508 ,574 ,643 ,630 ,615 ,903 
TOTAL,LMIC,MIO_EUR,FR,15128 ,15018 ,14110 ,16410 ,18761 ,23976 ,23699 ,25279 ,26103 ,19020 ,21681 ,20396 ,20220 ,19431 ,19345 ,18906 ,17382 ,20083 ,27248 ,28140 ,22381 ,27601 
TOTAL,LMIC,MIO_EUR,HR,477 ,651 ,735 ,806 ,868 ,978 ,1035 ,1436 ,1276 ,1036 ,1297 ,348 ,415 ,375 ,283 ,267 ,263 ,254 ,265 ,296 ,317 ,534 
TOTAL,LMIC,MIO_EUR,HU,699 ,793 ,1034 ,954 ,1063 ,1271 ,2081 ,2518 ,2717 ,1615 ,1706 ,1675 ,1869 ,2015 ,1958 ,1871 ,2004 ,2867 ,3005 ,3219 ,3270 ,4046 
TOTAL,LMIC,MIO_EUR,IE,605 ,558 ,659 ,800 ,808 ,885 ,793 ,716 ,670 ,646 ,668 ,849 ,1320 ,830 ,924 ,974 ,992 ,1174 ,1056 ,1139 ,1127 ,1993 
TOTAL,LMIC,MIO_EUR,IT,20435 ,18961 ,17435 ,19638 ,23303 ,28222 ,37583 ,38100 ,40545 ,28532 ,41704 ,24188 ,22036 ,21282 ,18839 ,18551 ,17677 ,19320 ,22908 ,23666 ,19600 ,27460 
TOTAL,LMIC,MIO_EUR,LT,86 ,83 ,83 ,155 ,132 ,176 ,662 ,837 ,511 ,275 ,407 ,533 ,379 ,437 ,461 ,479 ,381 ,443 ,491 ,623 ,576 ,911 
