indicator,statinfo,unit,stk_flow,geo\time,1980 ,1981 ,1982 ,1983 ,1984 ,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind13,AVG_30Y,MIO_EUR,LOSS,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,67 ,67 ,67 ,67 ,67 ,96 ,126 ,126 ,126 ,126 ,126 ,127 
ind13,AVG_30Y,MIO_EUR,LOSS,CH,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,509 ,510 ,510 ,509 ,516 ,516 ,515 ,500 ,414 ,412 ,418 ,396 
ind13,AVG_30Y,MIO_EUR,LOSS,CY,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,13 ,13 ,12 ,12 ,12 
ind13,AVG_30Y,MIO_EUR,LOSS,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,327 ,349 ,349 ,372 ,435 ,436 ,436 ,438 ,452 ,456 ,456 ,460 
ind13,AVG_30Y,MIO_EUR,LOSS,DE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2021 ,2101 ,2114 ,2123 ,2590 ,2605 ,2655 ,2767 ,2929 ,3257 ,3346 ,3200 
ind13,AVG_30Y,MIO_EUR,LOSS,DK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,198 ,202 ,204 ,204 ,239 ,242 ,242 ,242 ,242 ,244 ,244 ,237 
ind13,AVG_30Y,MIO_EUR,LOSS,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,7 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 
ind13,AVG_30Y,MIO_EUR,LOSS,EL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,298 ,298 ,298 ,298 ,298 ,298 ,298 ,300 ,280 ,283 ,291 ,207 
ind13,AVG_30Y,MIO_EUR,LOSS,ES,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1717 ,1644 ,1536 ,1445 ,1010 ,896 ,899 ,911 ,851 ,908 ,982 ,814 
ind13,AVG_30Y,MIO_EUR,LOSS,EU27_2020,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,10847 ,11215 ,11233 ,11056 ,11204 ,11344 ,11574 ,11793 ,12225 ,12917 ,13390 ,12885 
