sectperf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GOV,PC_GDP,ES,0.14 ,0.14 ,0.15 ,0.16 ,0.17 ,0.19 ,0.2 ,0.22 ,0.24 ,0.27 ,0.27 ,0.26 ,0.25 ,0.24 ,0.23 ,0.23 ,0.22 ,0.21 ,0.21 ,0.21 ,0.25 ,0.24 p
GOV,PC_GDP,EU27_2020,0.25 e,0.25 e,0.25 e,0.25 e,0.25 e,0.25 e,0.25 e,0.24 e,0.25 e,0.27 e,0.26 e,0.26 e,0.27 e,0.26 e,0.26 e,0.26 e,0.25 e,0.25 e,0.25 e,0.25 e,0.27 e,0.27 p
GOV,PC_GDP,FI,0.34 ,0.33 ,0.34 ,0.32 ,0.31 ,0.32 ,0.31 ,0.28 ,0.28 ,0.34 ,0.34 ,0.32 ,0.31 ,0.29 ,0.27 ,0.23 ,0.22 ,0.23 ,0.23 ,0.23 ,0.22 ,0.22 
GOV,PC_GDP,FR,0.36 b,0.35 ,0.36 ,0.35 ,0.36 ,0.36 ,0.34 ,0.33 ,0.33 ,0.36 ,0.31 b,0.3 ,0.29 ,0.29 ,0.29 ,0.29 ,0.28 ,0.27 ,0.27 ,0.27 ,0.27 ,0.27 
GOV,PC_GDP,HR,: ,: ,0.21 ,0.21 ,0.21 ,0.2 ,0.19 ,0.2 ,0.22 ,0.23 ,0.2 ,0.2 ,0.2 d,0.2 d,0.2 d,0.2 d,0.18 d,0.19 d,0.19 d,0.2 d,0.25 d,0.26 
GOV,PC_GDP,HU,0.21 d,0.24 d,0.32 d,0.29 d,0.25 bd,0.26 d,0.25 d,0.23 d,0.23 d,0.23 d,0.21 d,0.19 d,0.18 d,0.21 d,0.18 d,0.18 d,0.16 d,0.17 d,0.16 bd,0.15 d,0.16 d,0.17 d
GOV,PC_GDP,IE,0.09 ,0.09 ,0.09 ,0.09 ,0.09 ,0.09 ,0.08 ,0.09 ,0.09 ,0.08 ,0.08 ,0.08 ,0.08 ,0.07 ,0.07 ,0.05 ,0.05 ,0.05 ,0.05 ,0.05 ,0.04 ,0.04 p
GOV,PC_GDP,IS,0.66 e,0.57 ,0.69 e,0.67 ,: ,0.63 ,0.58 ,0.45 ,0.44 ,0.57 ,: ,0.43 be,: ,0.12 b,0.12 ,0.1 ,0.1 ,0.09 ,0.08 ,0.07 ,0.08 ,0.08 
GOV,PC_GDP,IT,0.19 ,0.19 ,0.19 ,0.19 ,0.19 ,0.18 ,0.19 ,0.16 ,0.15 ,0.16 ,0.17 ,0.16 ,0.19 ,0.18 ,0.18 ,0.18 ,0.17 ,0.17 ,0.18 ,0.18 ,0.2 ,0.2 
GOV,PC_GDP,JP,0.28 ,0.28 ,0.28 ,0.28 ,0.28 ,0.26 ,0.27 ,0.26 ,0.27 ,0.29 ,0.28 ,0.27 ,0.27 ,0.3 ,0.28 ,0.26 ,0.23 ,0.25 ,0.25 ,0.25 ,0.27 ,: 
