indicator,coop_ptn,unit,geo\time,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 
ind9,APPL,P_MHAB,SK,7.69 p,9.89 ,7.70 ,9.36 ,7.54 ,8.1 ,8.67 ,4.80 ,5.36 ,6.47 ,7.97 ,4.64 ,4.83 ,5.21 ,3.54 ,3.54 ,2.98 ,2.23 
ind9,APPL,P_MHAB,TR,8.75 p,7.26 ,5.70 be,7.05 be,11.34 ,6.60 ,5.71 ,5.22 ,4.95 ,5.28 ,5.00 ,3.87 ,2.64 ,2.74 ,2.08 ,2.08 ,0.99 ,0.98 
ind9,APPL,P_MHAB,UK,: ,: ,91.70 ,86.68 ,80.55 ,78.87 ,77.57 ,73.74 ,71.53 ,74.03 ,75.03 ,85.73 ,77.09 ,81.37 ,81.45 ,77.60 ,76.97 ,79.87 
ind9,INVT,NR,AL,3 p,1 ,2 ,0 ,0 ,2 ,0 ,3 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,AT,2393 p,2478 ,2530 ,2488 ,2394 ,2219 ,2177 ,2138 ,2131 ,2011 ,1872 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,BA,0 p,4 ,3 ,4 ,2 ,1 ,2 ,3 ,2 ,1 ,1 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,BE,2477 p,2341 ,2355 ,2337 ,2240 ,2321 ,2147 ,2186 ,2106 ,1956 ,1955 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,BG,45 p,62 ,48 ,43 ,36 ,27 ,43 ,33 ,35 ,26 ,21 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,CH,7271 p,5582 ,5556 ,5271 ,4933 ,4895 ,5037 ,4580 ,4605 ,4536 ,4452 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,CY,37 p,24 ,17 ,13 ,14 ,15 ,14 ,10 ,12 ,25 ,17 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,CZ,236 p,293 ,273 ,364 ,297 ,284 ,287 ,255 ,223 ,216 ,223 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,DE,26441 p,27129 ,27804 ,27367 ,26090 ,25602 ,25117 ,25898 ,26648 ,27748 ,26852 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,DK,2583 p,2292 ,2253 ,2288 ,2040 ,1850 ,1896 ,1964 ,1892 ,1724 ,1867 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,EE,70 p,59 ,53 ,50 ,57 ,45 ,36 ,36 ,50 ,48 ,46 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,EL,219 p,169 ,168 ,150 ,134 ,94 ,117 ,125 ,88 ,100 ,94 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,ES,2138 p,2217 ,2322 ,2248 ,2141 ,1884 ,1798 ,1783 ,1800 ,1829 ,1675 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,EU27_2020,67942 p,67235 ,67968 ,67667 ,64864 ,62998 ,61915 ,62191 ,60685 ,60339 ,59733 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,FI,1879 p,1630 ,1593 ,1563 ,1520 ,1587 ,1657 ,1812 ,1635 ,1578 ,1332 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,FR,10608 p,10796 ,10592 ,10833 ,10806 ,10493 ,10368 ,10126 ,9531 ,9399 ,9462 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,HR,29 p,39 ,38 ,31 ,20 ,29 ,20 ,23 ,21 ,29 ,27 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,HU,192 p,247 ,228 ,245 ,212 ,199 ,198 ,236 ,230 ,225 ,191 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,IE,800 p,660 ,587 ,537 ,547 ,557 ,490 ,565 ,452 ,452 ,446 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,IS,61 p,40 ,46 ,31 ,45 ,29 ,40 ,33 ,27 ,36 ,32 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,IT,5204 p,5368 ,5211 ,5227 ,5058 ,4834 ,4677 ,4367 ,4406 ,4555 ,4793 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,LI,323 p,54 ,49 ,53 ,38 ,39 ,66 ,44 ,40 ,30 ,43 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,LT,73 p,54 ,34 ,38 ,28 ,25 ,41 ,25 ,22 ,18 ,16 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,LU,301 p,133 ,120 ,103 ,106 ,118 ,85 ,100 ,77 ,98 ,102 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,LV,23 p,38 ,23 ,18 ,16 ,11 ,30 ,9 ,80 ,29 ,31 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,ME,2 p,7 ,0 ,2 ,1 ,2 ,0 ,0 ,1 ,1 ,0 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,MK,5 p,1 ,0 ,0 ,0 ,2 ,1 ,1 ,1 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,MT,39 p,21 ,23 ,14 ,18 ,7 ,11 ,4 ,5 ,2 ,6 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,NL,6345 p,5871 ,6276 ,6399 ,6340 ,6382 ,6326 ,6300 ,5323 ,4310 ,4907 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,NO,641 p,627 ,600 ,589 ,542 ,563 ,565 ,595 ,589 ,608 ,523 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,PL,633 p,665 ,683 ,767 ,675 ,569 ,710 ,627 ,482 ,497 ,344 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,PT,300 p,265 ,308 ,271 ,173 ,183 ,152 ,143 ,120 ,93 ,105 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,RO,46 p,107 ,162 ,219 ,158 ,127 ,128 ,90 ,74 ,63 ,54 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,RS,29 p,21 ,16 ,19 ,26 ,8 ,12 ,21 ,17 ,13 ,9 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,SE,4639 p,3958 ,4020 ,3840 ,3526 ,3311 ,3179 ,3128 ,3044 ,3136 ,3072 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,SI,136 p,222 ,169 ,136 ,152 ,162 ,149 ,165 ,153 ,126 ,168 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,SK,59 p,96 ,78 ,79 ,67 ,63 ,64 ,42 ,45 ,47 ,54 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,TR,738 p,648 ,513 ,613 ,961 ,551 ,501 ,447 ,420 ,435 ,416 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,NR,UK,6165 p,7000 ,7388 ,6932 ,6847 ,6647 ,6637 ,6310 ,6086 ,6303 ,6360 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,AL,1.06 p,0.35 ,0.70 ,0.00 ,0.00 ,0.70 ,0.00 ,1.04 ,0.00 ,0.00 ,0.00 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,AT,267.89 p,277.90 ,284.91 ,281.43 ,272.12 ,253.99 ,251.89 ,250.17 ,251.30 ,238.55 ,223.08 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,BA,: ,: ,: ,1.14 p,0.57 ,0.28 ,0.54 ,0.78 ,0.52 ,0.26 ,0.26 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,BE,214.37 p,202.88 ,204.98 ,204.51 ,196.92 ,204.83 ,190.43 ,195.02 ,188.72 ,176.11 b,177.11 b,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,BG,6.51 p,8.94 ,6.88 ,6.12 ,5.09 ,3.79 ,5.99 ,4.57 ,4.82 ,3.56 ,2.86 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,CH,838.61 p,646.20 ,647.91 ,619.07 ,583.66 ,584.59 ,608.16 ,559.31 ,569.27 ,567.22 ,562.66 b,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,CY,41.29 p,26.91 ,19.28 ,14.94 ,16.29 ,17.61 ,16.52 ,11.73 ,13.92 ,28.94 ,19.98 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,CZ,22.05 p,27.39 ,25.58 ,34.24 ,28.03 ,26.88 ,27.21 ,24.23 ,21.21 ,20.55 ,21.25 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,DE,317.97 p,326.22 ,334.61 ,330.10 ,315.64 ,310.90 ,307.48 ,319.80 ,330.43 ,345.01 ,334.50 b,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,DK,442.29 p,393.04 ,387.48 ,394.92 ,353.86 ,322.97 ,333.60 ,348.01 ,336.96 ,308.32 ,335.15 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,EE,52.63 p,44.38 ,39.94 ,37.82 ,43.27 ,34.20 ,27.37 b,27.39 ,37.94 ,36.29 ,34.65 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,EL,20.51 p,15.80 ,15.67 ,13.98 ,12.46 ,8.72 ,10.81 ,11.48 ,8.03 ,9.05 ,8.46 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,ES,45.11 p,46.81 ,49.26 ,48.04 ,45.95 ,40.53 ,38.71 ,38.36 ,38.61 ,39.10 ,35.83 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,EU27_2020,151.93 ep,150.3 ep,152.05 bep,151.5 e,145.48 b,141.52 ,139.37 b,140.3 b,137.31 ,136.85 b,135.68 b,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,FI,339.55 p,294.78 ,288.50 ,283.38 ,275.95 ,288.79 ,302.40 ,331.78 ,300.61 ,291.47 ,247.20 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,FR,156.79 p,159.77 p,157.18 p,161.31 ,161.48 ,157.26 ,155.80 ,152.70 b,144.91 ,143.63 ,145.28 ,: ,: ,: ,: ,: ,: ,: 
ind9,INVT,P_MHAB,HR,7.18 p,9.64 ,9.34 ,7.58 ,4.84 ,6.95 ,4.75 ,5.43 ,4.94 ,6.79 ,6.30 ,: ,: ,: ,: ,: ,: ,: 
