indicator,sex,age,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind1,T,Y_LT65,PC_Y_LT65,PT,10.2 ,8.5 ,7.7 ,6.9 ,6.2 ,5.0 ,5.3 
ind1,T,Y_LT65,PC_Y_LT65,RO,6.2 ,6.4 ,5.4 ,6.0 ,4.5 ,4.7 ,3.5 
ind1,T,Y_LT65,PC_Y_LT65,RS,20.2 ,20.8 ,20.3 ,17.5 ,16.2 ,15.3 ,: 
ind1,T,Y_LT65,PC_Y_LT65,SE,7.8 ,7.8 ,8.2 ,8.3 ,8.3 ,7.9 ,8.9 
ind1,T,Y_LT65,PC_Y_LT65,SI,5.8 ,6.0 ,5.2 ,4.4 ,4.3 ,3.9 ,3.6 
ind1,T,Y_LT65,PC_Y_LT65,SK,7.0 ,6.4 ,5.3 ,5.2 ,6.3 ,4.3 ,5.0 
ind1,T,Y_LT65,PC_Y_LT65,TR,10.0 ,9.1 ,9.1 ,8.9 ,9.4 ,10.3 ,: 
ind1,T,Y_LT65,PC_Y_LT65,UK,11.7 ,10.8 ,9.8 ,8.4 ,: ,: ,: 
ind1,T,Y_LT65,THS_PER,AL,: ,: ,316 ,304 ,277 ,262 ,: 
ind1,T,Y_LT65,THS_PER,AT,389 ,438 ,455 ,410 ,417 ,391 ,469 
ind1,T,Y_LT65,THS_PER,BE,1296 ,1315 ,1263 ,1140 ,1115 ,1077 ,1051 
ind1,T,Y_LT65,THS_PER,BG,607 ,594 ,570 ,462 ,472 ,424 ,421 
ind1,T,Y_LT65,THS_PER,CH,334 ,343 ,370 ,401 ,411 ,370 ,: 
ind1,T,Y_LT65,THS_PER,CY,73 ,70 ,61 ,58 ,47 ,39 ,43 
ind1,T,Y_LT65,THS_PER,CZ,532 ,528 ,449 ,360 ,346 ,351 ,433 
ind1,T,Y_LT65,THS_PER,DE,5731 ,5792 ,5368 ,4908 ,4692 ,5118 b,5741 
ind1,T,Y_LT65,THS_PER,DK,511 ,480 ,452 ,440 ,414 ,402 ,429 
ind1,T,Y_LT65,THS_PER,EA19,27199 ,27038 ,24782 ,22920 ,21910 ,23042 ,25023 
ind1,T,Y_LT65,THS_PER,EE,61 ,54 ,53 ,53 ,53 ,48 ,51 
ind1,T,Y_LT65,THS_PER,EL,1187 ,1206 ,1098 ,1039 ,970 ,897 ,926 
ind1,T,Y_LT65,THS_PER,ES,5612 ,5409 ,4594 ,3894 ,3963 ,3669 ,4243 
ind1,T,Y_LT65,THS_PER,EU,39062 ,38340 ,35006 ,32227 ,30640 e,: ,: 
ind1,T,Y_LT65,THS_PER,EU27_2007,: ,: ,: ,: ,30425 e,: ,: 
ind1,T,Y_LT65,THS_PER,EU27_2020,33356 ,32974 ,30105 ,27970 ,26383 e,27244 ,29256 
ind1,T,Y_LT65,THS_PER,EU28,39062 ,38340 ,35006 ,32227 ,30640 e,: ,: 
ind1,T,Y_LT65,THS_PER,FI,462 ,482 ,454 ,440 ,396 ,405 ,330 
ind1,T,Y_LT65,THS_PER,FR,3814 ,3578 ,3542 ,3442 ,3179 ,4480 b,4911 
ind1,T,Y_LT65,THS_PER,HR,371 ,330 ,313 ,271 ,215 ,204 ,210 
ind1,T,Y_LT65,THS_PER,HU,646 ,563 ,464 ,403 ,356 ,359 ,390 
ind1,T,Y_LT65,THS_PER,IE,738 ,708 ,648 ,537 ,566 ,474 b,541 
ind1,T,Y_LT65,THS_PER,IS,14 ,12 ,11 ,12 ,: ,: ,: 
ind1,T,Y_LT65,THS_PER,IT,5029 ,5403 ,4815 ,4764 ,4251 ,4396 ,4642 p
ind1,T,Y_LT65,THS_PER,LT,204 ,225 ,203 ,196 ,161 ,153 ,167 
ind1,T,Y_LT65,THS_PER,LU,22 ,30 ,31 ,36 ,32 ,34 b,27 b
ind1,T,Y_LT65,THS_PER,LV,113 ,102 ,105 ,104 ,105 ,106 ,92 
