indicator,age,sex,reason,unit,quantile,geo\time,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,IS,1.5 ,2.0 ,2.4 ,3.3 ,3.6 ,2.9 ,3.5 ,3.1 ,2.1 ,2.3 ,2.0 ,: ,: ,: ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,IT,4.2 ,4.5 ,4.3 ,4.9 ,4.9 ,6.3 ,6.4 ,6.5 ,4.9 ,1.5 ,2.0 ,1.4 ,: ,1.5 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,LT,4.4 ,2.2 ,2.1 ,1.7 ,1.7 ,2.0 ,2.4 ,2.2 ,2.1 ,1.3 ,2.0 ,1.2 ,1.1 ,2.0 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,LU,0.4 ,0.5 ,0.7 ,0.5 ,0.7 ,0.8 ,0.7 ,0.7 ,0.4 ,0.1 ,0.3 ,0.3 ,0.3 b,1.0 b,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,LV,7.7 ,8.3 ,12.4 ,13.9 ,10.9 ,11.7 ,10.8 ,7.2 b,7.1 ,5.3 ,5.3 ,3.5 ,4.0 ,3.2 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,ME,: ,: ,: ,: ,: ,9.6 ,6.8 ,3.6 ,2.3 ,2.1 ,1.9 ,2.9 ,1.5 ,: ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,MK,: ,: ,10.0 ,7.1 ,6.9 ,5.6 ,4.5 ,2.5 ,2.6 ,2.4 ,2.0 ,2.6 ,1.7 ,: ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,MT,0.5 ,1.3 ,1.2 ,0.9 ,1.0 ,0.7 ,0.8 ,0.8 ,0.8 ,0.1 ,0.1 ,0.0 n,0.0 ,0.1 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,NL,0.2 ,0.4 ,0.3 ,0.4 ,0.3 ,0.3 ,0.4 ,0.1 ,0.2 ,0.1 ,0.2 ,0.3 ,0.2 ,0.1 ,0.1 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,NO,1.3 ,1.2 ,1.4 ,1.8 ,1.1 ,1.1 ,0.7 ,1.0 ,0.9 ,1.5 ,1.2 ,1.0 ,0.6 ,: ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,PL,4.9 ,5.9 ,6.8 ,6.5 ,7.4 ,7.4 ,6.7 ,6.2 ,5.5 ,3.0 b,3.7 ,3.5 ,1.6 ,2.3 p,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,PT,0.9 ,2.8 ,1.5 ,1.2 ,2.9 ,2.4 ,2.5 ,2.3 ,1.8 ,1.8 ,1.4 ,1.2 ,1.0 ,1.5 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,RO,9.0 ,7.4 ,9.0 ,11.3 ,9.0 ,8.4 ,7.5 ,7.2 ,4.8 ,3.4 ,3.7 ,3.7 ,3.5 ,3.5 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,RS,: ,: ,: ,: ,: ,8.2 ,7.1 ,5.6 ,3.9 ,4.3 ,5.5 ,4.5 ,3.4 ,4.7 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,SE,2.7 ,1.3 ,1.4 ,1.1 ,1.5 ,2.1 ,2.0 b,1.1 ,1.4 ,1.1 ,1.3 ,1.1 ,1.5 ,1.2 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,SI,0.3 ,0.1 ,0.1 ,0.1 ,0.1 ,0.0 ,0.3 ,0.2 ,0.4 ,2.9 ,2.7 ,2.9 ,2.2 ,4.3 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,SK,1.1 ,1.4 ,1.6 ,1.6 ,1.7 ,1.8 ,2.0 ,1.8 ,2.1 ,2.3 ,2.4 ,2.6 ,2.9 ,: ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,TR,12.2 ,13.8 ,15.0 ,10.9 ,9.4 ,9.2 ,8.4 ,6.1 ,3.5 ,2.3 ,2.5 ,2.7 ,1.7 ,: ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,UK,0.9 ,1.0 ,1.1 ,1.0 ,1.3 ,1.4 ,2.0 ,2.4 ,0.9 ,2.7 b,3.8 ,: ,: ,: ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9.1 ,: ,: ,: ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,13.1 ,14.8 ,14.6 ,10.6 ,: ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,AT,0.7 ,0.5 ,0.6 ,0.4 ,0.3 ,0.4 ,0.1 ,0.1 ,0.2 ,0.2 ,0.1 ,0.3 ,0.1 ,0.3 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,BE,0.5 ,0.6 ,0.4 ,1.5 b,1.7 ,1.9 ,2.5 ,2.4 ,2.5 ,2.2 ,1.8 ,1.8 b,1.5 ,1.7 ,1.0 
