indicator,age,incgrp,sex,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind1,TOTAL,B_MD60,T,PC,ES,: ,6.8 ,6.4 ,5.5 ,6.1 ,3.4 b,4.6 ,3.3 ,5.1 b,3.5 ,4.4 ,5.2 ,3.4 ,4.6 ,2.7 ,4.9 ,4.6 ,9.2 
ind1,TOTAL,B_MD60,T,PC,EU,: ,: ,: ,: ,: ,14.0 e,14.0 e,13.4 e,12.9 e,12.6 e,12.6 e,12.8 e,12.3 e,11.8 e,9.1 e,9.6 e,8.7 e,: 
ind1,TOTAL,B_MD60,T,PC,EU27_2007,: ,: ,17.5 e,16.3 e,15.6 ,14.0 ,14.0 ,13.4 ,12.8 ,12.6 ,12.5 ,12.8 ,12.3 ,11.8 ,9.0 ,9.6 ,8.7 e,: 
ind1,TOTAL,B_MD60,T,PC,EU27_2020,: ,: ,: ,: ,: ,: ,: ,14.4 e,14.3 e,13.7 e,13.8 e,13.8 e,13.3 e,12.8 e,10.1 e,10.5 e,9.5 e,10.2 e
ind1,TOTAL,B_MD60,T,PC,EU28,: ,: ,: ,: ,: ,: ,: ,13.4 ,12.9 ,12.6 ,12.6 ,12.8 ,12.3 ,11.8 ,9.1 ,9.6 ,8.7 e,: 
ind1,TOTAL,B_MD60,T,PC,FI,: ,2.3 ,3.5 ,2.7 ,2.2 ,1.6 ,2.5 ,2.2 ,1.8 ,2.8 ,2.7 ,1.9 ,2.0 ,3.2 ,2.4 ,2.3 ,1.6 ,3.2 
ind1,TOTAL,B_MD60,T,PC,FR,: ,9.6 ,8.2 ,6.9 ,8.7 ,10.0 ,10.4 ,9.8 ,8.8 ,8.7 ,8.0 ,8.3 ,7.8 ,9.8 ,5.4 ,8.3 ,7.3 ,10.6 b
ind1,TOTAL,B_MD60,T,PC,HR,: ,: ,: ,: ,: ,: ,: ,19.5 ,15.4 ,13.7 b,14.9 ,13.1 ,13.9 ,12.8 ,12.6 ,10.9 ,11.6 ,7.8 
ind1,TOTAL,B_MD60,T,PC,HU,: ,: ,40.4 ,36.6 ,29.6 ,40.0 ,30.3 ,42.3 ,40.8 ,46.5 ,43.0 ,42.1 ,35.0 ,32.7 ,25.0 ,14.5 ,12.0 ,13.0 
ind1,TOTAL,B_MD60,T,PC,IE,3.5 ,5.2 ,4.3 ,3.8 ,5.3 ,2.4 ,3.2 ,0.7 ,1.6 ,1.5 ,1.7 ,2.7 ,2.2 ,3.0 ,1.7 ,1.5 ,2.3 ,5.3 b
ind1,TOTAL,B_MD60,T,PC,IS,: ,4.5 ,2.5 ,2.9 ,4.7 ,2.8 ,2.5 ,3.9 ,4.1 ,5.9 ,7.6 ,4.4 ,7.2 ,1.8 ,2.3 ,4.6 ,: ,: 
ind1,TOTAL,B_MD60,T,PC,IT,: ,18.0 ,15.1 ,15.3 ,14.7 ,13.4 ,14.8 ,15.1 ,16.2 ,17.3 ,16.8 ,17.6 ,18.9 ,14.3 ,9.3 ,9.7 ,7.1 ,10.0 
ind1,TOTAL,B_MD60,T,PC,LT,: ,: ,44.9 ,42.4 ,35.4 ,32.0 ,28.0 ,22.4 ,15.1 b,14.2 ,18.5 ,18.2 ,19.1 ,19.1 ,16.2 ,10.5 ,12.4 ,9.2 
ind1,TOTAL,B_MD60,T,PC,LU,10.3 ,6.2 ,8.8 ,8.1 ,8.5 ,8.3 ,6.8 ,8.5 ,8.4 ,9.4 ,8.0 ,5.4 ,6.8 ,7.0 b,5.8 ,5.3 ,6.9 ,4.3 b
ind1,TOTAL,B_MD60,T,PC,LV,: ,: ,45.0 ,37.4 ,35.5 ,31.9 b,33.3 ,39.4 ,32.2 ,31.5 ,29.7 ,27.3 ,27.3 ,24.2 ,23.4 ,21.1 ,16.7 ,16.5 
ind1,TOTAL,B_MD60,T,PC,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,38.1 ,36.5 ,35.0 ,30.6 ,28.6 ,30.9 ,31.1 ,31.9 
ind1,TOTAL,B_MD60,T,PC,MK,: ,: ,: ,: ,: ,: ,: ,: ,24.7 ,22.5 ,25.6 ,25.5 b,20.7 ,27.5 ,22.0 ,25.6 ,21.9 ,23.2 
ind1,TOTAL,B_MD60,T,PC,MT,: ,: ,1.5 ,0.5 ,2.3 ,1.6 ,3.2 ,1.7 ,3.9 ,1.6 ,2.5 ,2.8 ,3.1 ,4.3 ,5.6 ,4.3 ,3.5 ,1.4 
ind1,TOTAL,B_MD60,T,PC,NL,: ,: ,1.0 ,1.7 ,3.4 ,1.7 ,1.4 ,1.2 ,0.7 ,2.5 ,5.6 ,2.3 ,4.9 ,4.3 b,4.3 ,3.5 ,4.4 ,5.6 
ind1,TOTAL,B_MD60,T,PC,NO,4.2 ,4.5 ,4.7 ,5.3 ,5.1 ,4.9 ,3.5 ,7.9 ,7.4 ,5.3 ,6.5 ,4.4 ,3.7 ,5.3 ,3.7 ,2.7 ,3.9 ,5.8 
ind1,TOTAL,B_MD60,T,PC,PL,: ,: ,47.0 ,49.1 ,46.6 ,33.5 ,29.9 ,28.0 ,23.8 ,22.9 ,20.8 ,19.9 ,19.8 ,19.7 ,16.0 ,15.8 ,13.0 ,: 
ind1,TOTAL,B_MD60,T,PC,PT,: ,13.0 ,13.8 ,11.8 ,13.4 ,12.4 ,10.6 ,10.6 ,8.2 ,7.8 ,11.4 ,13.1 ,11.2 ,11.3 ,9.3 ,8.7 ,10.4 ,7.2 
ind1,TOTAL,B_MD60,T,PC,RO,: ,: ,: ,: ,52.8 ,53.3 ,52.1 ,50.6 ,50.0 ,47.9 ,48.8 ,45.2 ,44.7 ,42.7 ,36.7 ,37.4 ,34.9 ,35.7 
ind1,TOTAL,B_MD60,T,PC,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,27.3 ,25.6 ,25.4 ,25.2 ,25.1 ,22.5 ,22.4 ,18.0 
ind1,TOTAL,B_MD60,T,PC,SE,: ,5.4 ,3.4 ,4.7 ,4.2 ,6.0 b,3.1 ,5.6 ,6.2 ,4.5 ,5.6 ,6.9 ,7.9 ,6.8 ,7.4 ,8.4 ,8.1 ,5.4 
ind1,TOTAL,B_MD60,T,PC,SI,: ,: ,21.1 ,19.2 ,22.6 ,26.8 ,24.6 ,25.4 ,16.2 b,16.9 ,14.1 ,12.5 ,12.5 ,9.6 ,7.9 ,8.6 ,7.2 ,6.5 
ind1,TOTAL,B_MD60,T,PC,SK,: ,: ,13.1 ,11.7 ,12.4 ,11.9 b,11.3 ,10.7 ,14.4 ,15.3 ,16.3 ,19.7 ,15.2 ,16.0 ,20.7 ,14.3 ,14.9 ,11.5 
ind1,TOTAL,B_MD60,T,PC,TR,: ,: ,: ,57.0 ,56.9 ,55.2 ,56.9 ,59.1 ,55.0 ,54.7 ,52.1 ,51.2 ,50.5 ,50.0 ,49.7 ,47.3 ,46.0 ,42.0 
ind1,TOTAL,B_MD60,T,PC,UK,: ,: ,6.1 ,3.8 ,3.7 ,4.7 ,6.6 ,6.6 ,2.6 ,4.2 b,3.7 ,5.4 ,5.1 ,4.0 ,2.2 b,4.0 ,: ,: 
ind1,TOTAL,B_MD60,T,PC,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,31.5 ,: ,: 
ind1,TOTAL,TOTAL,T,PC,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,22.4 ,24.0 ,21.0 ,15.3 
ind1,TOTAL,TOTAL,T,PC,AT,1.6 ,3.8 ,3.7 ,3.9 ,3.8 ,4.6 b,4.1 ,4.0 ,3.8 ,3.8 ,3.9 ,3.7 ,4.3 ,4.2 ,4.4 ,3.2 ,3.0 ,3.0 
ind1,TOTAL,TOTAL,T,PC,BE,2.4 ,1.2 ,1.7 ,1.1 ,1.2 ,1.1 ,1.3 ,1.9 ,1.0 ,0.6 ,0.9 ,0.9 ,0.9 ,1.7 b,2.3 ,2.2 ,1.9 b,2.3 
ind1,TOTAL,TOTAL,T,PC,BG,: ,: ,: ,22.8 ,18.2 ,23.5 b,18.8 ,14.7 ,14.3 ,12.9 ,13.0 ,12.9 b,11.4 ,11.6 b,10.6 ,10.1 ,8.9 ,8.6 
ind1,TOTAL,TOTAL,T,PC,CH,: ,: ,: ,: ,2.2 ,1.1 ,1.5 ,1.2 ,1.4 ,1.8 ,2.0 ,1.4 b,1.7 ,2.3 ,2.2 ,2.3 ,1.6 ,1.8 
ind1,TOTAL,TOTAL,T,PC,CY,: ,: ,1.6 ,1.3 ,0.8 ,1.6 b,1.1 ,1.6 ,1.6 ,1.2 ,1.4 ,1.5 ,0.5 ,1.3 ,0.9 ,1.1 ,1.3 ,1.6 
ind1,TOTAL,TOTAL,T,PC,CZ,: ,: ,9.8 ,10.7 ,8.1 ,6.5 ,6.2 ,4.5 ,4.8 ,3.9 ,4.0 ,3.5 ,3.3 ,3.0 ,2.1 ,2.3 ,1.9 ,2.0 
ind1,TOTAL,TOTAL,T,PC,DE,: ,: ,1.8 ,2.5 ,1.8 ,2.0 ,2.1 ,2.1 ,2.1 ,1.9 ,1.6 ,1.9 ,1.8 ,1.9 ,1.8 ,2.3 ,2.1 ,1.2 b
ind1,TOTAL,TOTAL,T,PC,DK,2.4 ,1.8 ,1.2 ,1.3 ,1.7 ,1.1 ,1.3 ,1.3 ,2.6 b,2.3 ,2.3 ,2.3 ,2.8 ,1.7 ,2.7 ,3.2 ,2.8 ,2.8 
ind1,TOTAL,TOTAL,T,PC,EA18,: ,: ,4.1 ,4.1 ,3.9 ,3.8 ,3.6 ,3.6 ,3.6 ,3.5 ,3.5 ,3.7 ,3.7 ,3.4 ,2.8 ,3.0 ,2.8 ,3.3 
ind1,TOTAL,TOTAL,T,PC,EA19,: ,: ,4.4 ,4.4 ,4.1 ,3.9 ,3.7 ,3.7 ,3.7 ,3.5 ,3.6 ,3.7 ,3.7 ,3.5 ,2.8 ,3.0 ,2.9 ,3.3 
ind1,TOTAL,TOTAL,T,PC,EE,: ,21.3 ,17.5 ,15.3 ,14.6 ,10.4 ,12.2 ,11.4 ,4.9 ,4.7 ,5.8 ,3.9 b,2.8 ,3.3 ,3.3 ,2.9 ,2.7 ,2.1 
ind1,TOTAL,TOTAL,T,PC,EL,9.6 ,8.2 ,9.1 ,9.1 ,8.5 ,8.1 ,7.6 ,7.6 ,7.2 ,7.0 ,7.0 ,6.0 ,6.7 ,6.3 ,6.0 ,5.9 ,6.0 ,5.8 
ind1,TOTAL,TOTAL,T,PC,ES,: ,4.8 ,2.9 ,2.6 ,2.6 ,1.6 b,1.8 ,1.8 ,2.1 b,1.3 ,1.8 ,1.7 ,1.5 ,1.7 ,1.0 ,1.5 ,1.7 ,3.4 
ind1,TOTAL,TOTAL,T,PC,EU,: ,: ,: ,: ,: ,6.5 e,5.9 e,5.7 e,5.4 e,5.0 e,5.1 e,5.0 e,4.9 e,4.8 e,4.0 e,4.0 e,3.7 e,: 
ind1,TOTAL,TOTAL,T,PC,EU27_2007,: ,: ,8.2 e,7.8 e,7.2 ,6.5 ,5.9 ,5.6 ,5.3 ,5.0 ,5.1 ,5.0 ,4.9 ,4.7 ,4.0 ,4.0 ,3.7 e,: 
