indicator,nrg_bal,unit,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind7,REN_ELC,PC,LU,2.765 ,3.179 ,3.172 ,3.305 ,3.581 ,4.105 ,3.786 ,4.075 ,4.660 ,5.329 ,5.958 ,6.197 ,6.674 ,8.055 ,9.115 ,10.863 ,13.887 ,14.217 
ind7,REN_ELC,PC,LV,45.958 ,43.023 ,40.414 ,38.622 ,38.733 ,41.942 ,42.051 ,44.694 ,44.877 ,48.685 ,51.037 ,52.205 ,51.251 ,54.352 ,53.499 ,53.423 ,53.357 ,51.397 
ind7,REN_ELC,PC,ME,: ,39.102 ,37.679 ,37.622 ,38.258 ,46.615 ,45.740 ,41.583 ,42.765 ,49.067 ,51.444 ,49.613 ,50.961 ,50.111 ,52.419 ,53.647 ,61.490 ,60.462 
ind7,REN_ELC,PC,MK,14.511 ,13.989 ,14.011 ,13.671 ,13.848 ,15.471 ,15.847 ,14.849 ,16.659 ,18.206 ,19.273 ,21.663 ,24.138 ,24.839 ,24.838 ,23.778 ,23.532 ,21.532 
ind7,REN_ELC,PC,MT,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.032 ,0.454 ,1.115 ,1.571 ,3.333 ,4.312 ,5.714 ,6.845 ,7.702 ,7.485 ,9.489 ,9.655 
ind7,REN_ELC,PC,NL,4.446 ,6.297 ,6.541 ,5.963 ,7.464 ,9.069 ,9.601 ,9.740 ,10.350 ,9.911 ,9.924 ,11.040 ,12.550 ,13.812 ,15.171 ,18.230 ,26.407 ,30.394 
ind7,REN_ELC,PC,NO,97.973 ,97.423 ,100.843 ,99.052 ,100.154 ,105.191 ,98.252 ,105.887 ,104.599 ,106.917 ,110.135 ,106.830 ,105.638 ,104.850 ,106.829 ,110.445 ,113.802 ,113.670 
ind7,REN_ELC,PC,PL,2.049 ,2.512 ,2.860 ,3.316 ,4.248 ,5.713 ,6.549 ,8.078 ,10.610 ,10.676 ,12.360 ,13.401 ,13.342 ,13.082 ,13.027 ,14.356 ,16.237 ,17.166 
ind7,REN_ELC,PC,PT,27.390 ,27.703 ,29.308 ,32.285 ,34.063 ,37.562 ,40.608 ,45.780 ,47.505 ,49.101 ,52.054 ,52.616 ,53.990 ,54.168 ,52.186 ,53.774 ,58.032 ,58.433 
ind7,REN_ELC,PC,RO,28.427 ,28.775 ,28.054 ,28.108 ,28.075 ,30.894 ,30.378 ,31.131 ,33.567 ,37.516 ,41.679 ,43.161 ,42.712 ,41.965 ,41.793 ,42.616 ,43.374 ,42.489 
ind7,REN_ELC,PC,RS,18.486 ,22.366 ,23.603 ,24.812 ,25.858 ,28.252 ,28.183 ,27.526 ,28.509 ,27.971 ,30.274 ,28.915 ,29.154 ,27.448 ,28.658 ,30.107 ,30.701 ,29.897 
ind7,REN_ELC,PC,SE,51.196 ,50.899 ,51.783 ,53.210 ,53.687 ,58.252 ,55.767 ,59.624 ,59.779 ,61.737 ,63.214 ,65.733 ,64.869 ,65.909 ,66.228 ,71.234 ,74.495 ,75.704 
