sex,wstatus,unit,age,citizen,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
T,POP,PC,Y18-24,NAT,RO,22.4 ,19.6 ,17.9 b,17.3 ,15.9 ,16.7 ,19.3 b,18.1 ,17.8 ,17.3 ,18.1 b,19.1 ,18.6 ,18.1 ,16.4 ,15.4 ,15.6 ,15.3 b
T,POP,PC,Y18-24,NAT,RS,: ,: ,: ,: ,: ,: ,8.3 ,8.4 ,8.1 ,8.8 ,8.3 b,7.5 ,7.0 ,6.2 ,6.8 ,6.6 ,5.5 ,6.2 b
T,POP,PC,Y18-24,NAT,SE,9.0 ,10.5 b,8.2 b,7.6 b,7.5 b,6.6 ,6.2 ,6.1 ,6.9 ,6.5 ,6.0 b,6.3 ,6.2 ,6.4 ,6.0 b,4.8 ,5.6 ,6.6 b
T,POP,PC,Y18-24,NAT,SI,4.3 ,4.9 ,5.6 b,4.1 ,4.8 ,5.1 ,4.8 ,3.9 ,4.1 ,3.5 ,4.0 b,4.4 ,4.4 ,4.3 ,3.8 ,4.1 ,3.8 ,3.0 bu
T,POP,PC,Y18-24,NAT,SK,6.8 ,6.3 ,6.6 b,6.5 ,6.0 ,4.9 ,4.7 ,5.1 b,5.3 ,6.4 ,6.7 b,6.9 ,7.4 ,9.3 ,8.5 ,8.4 ,7.6 ,7.8 b
T,POP,PC,Y18-24,NAT,UK,16.9 ,16.9 ,16.9 b,16.9 b,17.2 b,16.0 ,15.1 b,15.2 b,13.5 ,12.5 ,11.9 b,11.0 ,11.2 ,10.6 ,10.6 ,10.9 ,: ,: 
T,POP,PC,Y18-24,NEU27_2020_FOR,AT,: ,: ,35.2 b,35.4 ,34.1 ,32.6 ,27.7 ,28.4 ,25.7 ,26.5 ,23.5 b,25.5 ,17.7 ,24.6 ,23.2 ,24.6 ,27.3 ,20.3 b
T,POP,PC,Y18-24,NEU27_2020_FOR,BE,: ,: ,33.4 b,36.4 ,36.1 b,28.3 ,29.5 ,28.2 ,31.3 ,28.1 ,21.5 b,26.1 ,26.9 ,22.7 b,30.5 ,27.0 ,25.9 ,23.8 b
T,POP,PC,Y18-24,NEU27_2020_FOR,BG,: ,: ,: bu,: ,: ,: ,: b,: bu,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,CH,: ,: ,24.6 ,22.6 ,24.5 ,27.7 ,24.4 b,23.2 ,22.1 ,16.1 ,12.4 b,13.7 ,15.3 ,14.5 ,11.6 ,11.5 ,11.0 ,13.8 b
T,POP,PC,Y18-24,NEU27_2020_FOR,CY,: ,: ,23.3 bu,18.8 u,20.7 u,19.6 bu,24.7 ,28.3 ,24.8 u,20.1 u,34.0 bu,23.5 u,26.1 ,20.4 u,17.3 u,25.7 ,31.4 ,33.9 b
T,POP,PC,Y18-24,NEU27_2020_FOR,CZ,: ,: ,: bu,: u,: u,10.2 u,10.1 u,: bu,7.7 u,12.5 bu,12.2 bu,9.3 u,13.7 u,11.7 u,9.7 u,8.5 u,: u,9.6 bu
T,POP,PC,Y18-24,NEU27_2020_FOR,DE,: ,: ,34.9 b,32.2 ,30.9 b,30.9 ,30.4 b,31.0 ,27.3 ,26.3 ,24.2 b,24.5 ,26.3 ,24.4 ,24.5 ,25.5 ,28.4 b,30.1 b
T,POP,PC,Y18-24,NEU27_2020_FOR,DK,: ,: ,20.7 u,22.7 bu,25.0 b,25.7 u,21.9 u,20.9 u,15.3 u,15.8 u,14.1 bu,: u,: bu,17.2 bu,17.8 u,17.8 u,15.5 u,16.3 bu
T,POP,PC,Y18-24,NEU27_2020_FOR,EA20,: ,: ,38.9 b,38.4 ,38.8 ,38.2 ,37.7 ,37.2 ,34.8 ,31.4 ,29.2 b,27.8 ,27.6 ,25.8 ,27.2 ,27.8 ,28.5 ,26.3 b
T,POP,PC,Y18-24,NEU27_2020_FOR,EE,: ,: ,: u,: u,18.8 ,22.6 b,19.9 u,14.0 u,: u,15.3 u,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,EL,: ,: ,51.2 b,48.5 ,52.5 b,52.9 b,50.3 ,48.4 ,42.0 ,34.7 ,26.3 b,21.5 ,16.4 ,14.0 ,15.5 ,20.9 ,22.7 ,19.3 bu
T,POP,PC,Y18-24,NEU27_2020_FOR,ES,: ,: ,47.8 b,48.4 ,49.9 ,47.7 ,46.6 ,45.6 ,44.7 ,42.0 ,43.4 b,37.4 ,38.2 ,34.7 ,35.8 ,38.2 ,33.9 ,26.7 b
T,POP,PC,Y18-24,NEU27_2020_FOR,EU27_2020,: ,: ,38.1 b,37.7 ,38.2 ,37.6 ,37.0 ,36.3 ,34.0 ,30.6 ,28.5 b,27.0 ,27.0 ,25.3 ,26.5 ,26.9 ,27.9 ,25.9 b
T,POP,PC,Y18-24,NEU27_2020_FOR,FI,: ,: ,: u,: u,: u,29.2 u,26.8 u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,24.0 u,20.2 bu
T,POP,PC,Y18-24,NEU27_2020_FOR,FR,: ,: ,23.1 ,27.6 ,26.0 ,28.6 ,27.6 ,24.5 ,27.8 ,20.1 b,18.4 b,18.9 ,18.4 ,16.7 ,17.9 ,16.6 ,15.1 ,12.9 b
T,POP,PC,Y18-24,NEU27_2020_FOR,HR,: ,: ,: bu,: u,: u,73.3 u,82.4 bu,: u,: u,: u,: bu,: u,: u,: ,: u,: u,: u,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,HU,: ,: ,: bu,: u,: u,: u,: u,: u,: u,: u,: bu,: bu,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,IE,: ,: ,13.6 bu,12.9 bu,: u,11.6 u,12.8 u,16.3 u,10.7 u,11.0 u,: bu,: u,: u,: bu,: u,: u,: u,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,IS,: ,: ,: u,: u,: u,: bu,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: bu,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,IT,: ,: ,51.9 b,49.3 ,49.2 ,49.4 ,48.8 ,47.7 ,43.1 ,37.4 ,37.0 b,35.9 ,34.5 ,34.2 ,39.3 ,38.5 ,40.1 ,35.7 b
T,POP,PC,Y18-24,NEU27_2020_FOR,LT,: ,: ,: b,: ,: ,: ,: ,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,LU,: ,: ,: bu,: bu,: u,: bu,: u,: u,: u,: u,: bu,: bu,: u,: u,: u,: u,: u,32.4 bu
T,POP,PC,Y18-24,NEU27_2020_FOR,LV,: ,: ,: b,: u,19.1 b,21.2 ,16.5 u,20.4 u,22.3 ,: u,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,ME,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: 
T,POP,PC,Y18-24,NEU27_2020_FOR,MK,: ,: ,: u,: bu,: u,: u,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: 
T,POP,PC,Y18-24,NEU27_2020_FOR,MT,: ,: ,: bu,: u,: u,: u,: u,: bu,: u,: u,: bu,: u,: u,20.5 bu,31.7 u,32.0 u,26.7 u,23.6 bu
T,POP,PC,Y18-24,NEU27_2020_FOR,NL,: ,: ,25.4 b,25.1 ,24.1 ,15.4 ,15.1 ,17.5 ,14.5 ,15.0 b,10.9 b,16.5 ,12.9 ,11.0 ,12.8 ,15.1 b,14.7 ,9.3 b
T,POP,PC,Y18-24,NEU27_2020_FOR,NO,: ,: ,22.9 ,21.8 ,20.3 u,20.8 ,15.7 u,18.8 ,13.7 u,17.8 ,16.8 b,12.8 ,11.6 u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,PL,: ,: ,: u,: u,: bu,: u,: bu,: u,: u,: bu,: bu,: u,: u,: u,: bu,: u,: u,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,PT,: ,: ,47.6 b,43.6 ,40.5 ,32.7 ,37.3 ,24.8 b,26.7 ,27.7 ,25.3 b,22.3 ,: u,: u,: u,21.3 ,: u,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,RO,: ,: ,: bu,: u,: u,: u,: bu,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,RS,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,SE,: ,: ,24.7 bu,28.1 bu,23.4 bu,18.9 u,16.7 ,18.6 ,18.9 ,18.2 ,18.8 b,19.9 ,23.5 ,24.7 ,23.4 b,21.0 ,24.3 ,25.8 bu
T,POP,PC,Y18-24,NEU27_2020_FOR,SI,: ,: ,: bu,: u,: u,: u,: u,15.8 u,18.8 u,25.7 u,18.6 bu,20.5 u,19.4 u,: u,9.7 u,11.4 u,8.7 u,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,SK,: ,: ,: b,: ,: ,: ,: ,: ,: ,: u,: bu,: ,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,NEU27_2020_FOR,UK,: ,: ,11.5 b,11.5 b,13.1 b,11.6 ,9.6 b,9.8 b,9.4 ,7.9 ,7.6 b,4.9 ,6.7 ,7.3 ,7.2 ,9.3 ,: ,: 
