indicator,partner,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind17,LDC,PC,ES,0.03 ,0.04 ,0.05 ,0.05 ,0.05 ,0.07 ,0.06 ,0.08 ,0.10 ,0.12 ,0.11 ,0.07 ,0.04 ,0.03 ,0.03 ,0.03 ,0.04 ,0.04 ,0.05 ,0.04 ,0.05 b,0.05 
ind17,LDC,PC,EU27_2020,0.09 ,0.10 ,0.12 ,0.14 ,0.12 ,0.11 ,0.11 ,0.11 ,0.12 ,0.12 ,0.13 ,0.12 ,0.10 ,0.10 ,0.09 ,0.08 ,0.09 ,0.10 ,0.11 ,0.10 ,0.12 b,0.11 
ind17,LDC,PC,FI,0.10 ,0.10 ,0.12 ,0.12 ,0.12 ,0.13 ,0.14 ,0.15 ,0.15 ,0.19 ,0.20 ,0.17 ,0.18 ,0.19 ,0.21 ,0.18 ,0.13 ,0.13 ,0.11 ,0.14 ,0.14 b,0.16 
ind17,LDC,PC,FR,0.09 ,0.09 ,0.13 ,0.17 ,0.17 ,0.10 ,0.12 ,0.11 ,0.11 ,0.12 ,0.14 ,0.13 ,0.09 ,0.12 ,0.09 ,0.10 ,0.08 ,0.10 ,0.12 ,0.11 ,0.14 b,0.13 
ind17,LDC,PC,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.01 ,: ,0.01 ,0.02 ,0.02 ,0.03 ,0.01 ,0.02 b,0.02 
ind17,LDC,PC,HU,: ,: ,: ,: ,0.01 ,0.04 ,0.02 ,0.04 ,0.02 ,0.03 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,0.05 ,0.04 ,0.03 b,0.04 
ind17,LDC,PC,IE,0.15 ,0.18 ,0.23 ,0.22 ,0.22 ,0.21 ,0.28 ,0.28 ,0.30 ,0.28 ,0.29 ,0.27 ,0.24 ,0.23 ,0.18 ,0.15 ,0.14 ,0.14 ,0.13 ,0.12 ,0.12 b,0.11 
ind17,LDC,PC,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.10 ,0.09 ,0.10 ,0.08 ,0.08 ,0.12 ,0.10 ,0.10 b,0.11 
ind17,LDC,PC,IT,0.05 ,0.05 ,0.10 ,0.08 ,0.05 ,0.08 ,0.04 ,0.06 ,0.07 ,0.05 ,0.06 ,0.07 ,0.03 ,0.05 ,0.04 ,0.05 ,0.05 ,0.06 ,0.06 ,0.06 ,0.06 b,0.08 
ind17,LDC,PC,LT,: ,: ,: ,: ,0.01 ,0.02 ,0.03 ,0.06 ,0.05 ,0.04 ,0.06 ,0.05 ,0.06 ,0.04 ,0.02 ,0.02 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 b,0.02 
ind17,LDC,PC,LU,0.22 ,0.24 ,0.28 ,0.27 ,0.26 ,0.28 ,0.34 ,0.36 ,0.38 ,0.38 ,0.40 ,0.36 ,0.37 ,0.38 ,0.43 ,0.40 ,0.42 ,0.43 ,0.46 ,0.47 ,0.48 b,0.45 
ind17,LDC,PC,LV,: ,: ,: ,: ,: ,0.02 ,0.02 ,0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 b,0.02 
ind17,LDC,PC,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.02 ,0.02 ,0.02 ,0.02 ,0.01 ,0.03 ,0.02 ,0.01 ,0.01 b,0.02 
ind17,LDC,PC,NL,0.22 ,0.26 ,0.30 ,0.29 ,0.30 ,0.27 ,0.20 ,0.23 ,0.24 ,0.21 ,0.24 ,0.17 ,0.15 ,0.17 ,0.13 ,0.14 ,0.15 ,0.13 ,0.15 ,0.14 ,0.12 b,0.09 
ind17,LDC,PC,NO,0.27 ,0.28 ,0.35 ,0.38 ,0.37 ,0.35 ,0.35 ,0.34 ,0.33 ,0.33 ,0.34 ,0.31 ,0.27 ,0.30 ,0.28 ,0.27 ,0.26 ,0.28 ,0.27 ,0.28 ,0.32 b,0.25 
ind17,LDC,PC,PL,: ,: ,: ,: ,0.02 ,0.02 ,0.04 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.04 ,0.02 ,0.04 ,0.02 ,0.02 b,0.02 
ind17,LDC,PC,PT,0.15 ,0.15 ,0.16 ,0.11 ,0.52 ,0.09 ,0.10 ,0.10 ,0.10 ,0.10 ,0.13 ,0.15 ,0.09 ,0.07 ,0.05 ,0.05 ,0.05 ,0.06 ,0.06 ,0.05 ,0.05 b,0.06 
ind17,LDC,PC,RO,: ,: ,: ,: ,: ,: ,: ,: ,0.02 ,0.02 ,0.02 ,0.02 ,0.01 ,0.01 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 b,0.02 
ind17,LDC,PC,SE,0.24 ,0.23 ,0.27 ,0.28 ,0.24 ,0.31 ,0.29 ,0.30 ,0.32 ,0.35 ,0.30 ,0.35 ,0.29 ,0.31 ,0.29 ,0.29 ,0.27 ,0.31 ,0.34 ,0.32 ,0.35 b,0.32 
ind17,LDC,PC,SI,: ,: ,: ,: ,: ,: ,: ,: ,0.03 ,0.03 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.03 ,0.02 ,0.02 ,0.02 b,0.03 
ind17,LDC,PC,SK,: ,: ,: ,: ,0.02 ,0.07 ,0.05 ,0.04 ,0.05 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 b,0.02 
ind17,LDC,PC,UK,0.11 ,0.12 ,0.08 ,0.13 ,0.14 ,0.12 ,0.16 ,0.15 ,0.16 ,0.18 ,0.20 ,0.21 ,0.19 ,0.24 ,0.24 ,0.23 ,0.22 ,0.23 ,0.23 ,0.21 ,: ,: 
