indicator,sex,age,unit,isced11,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind4,M,Y25-34,PC,ED5-8,HU,12.3 ,13.3 b,13.0 ,14.4 ,15.9 ,16.5 ,17.0 ,17.7 ,19.9 ,20.6 ,21.4 ,22.9 ,24.7 ,25.3 ,26.1 b,26.1 ,24.4 ,24.7 ,24.9 ,24.9 ,25.3 ,27.0 b
ind4,M,Y25-34,PC,ED5-8,IE,29.0 u,31.6 ,32.8 ,34.9 ,36.2 ,36.0 ,37.1 ,40.0 b,40.3 ,42.9 ,43.2 ,41.9 ,43.8 ,45.9 ,46.0 b,47.1 ,47.3 ,49.4 b,52.1 ,51.5 ,54.5 ,57.4 b
ind4,M,Y25-34,PC,ED5-8,IS,25.8 ,24.5 ,27.3 ,29.2 b,27.3 ,29.5 ,26.3 u,28.5 ,27.6 ,30.2 ,28.6 ,30.7 ,29.8 ,31.7 ,34.3 b,31.9 ,35.0 ,39.1 ,38.9 ,39.1 ,34.0 b,33.9 b
ind4,M,Y25-34,PC,ED5-8,IT,9.3 ,9.9 ,10.8 ,11.2 ,12.0 b,13.1 ,13.8 ,14.8 ,15.4 ,15.8 ,16.4 ,16.5 ,17.5 ,17.8 ,18.6 b,19.4 ,19.5 ,20.4 ,21.6 ,21.8 ,22.9 ,22.3 b
ind4,M,Y25-34,PC,ED5-8,LT,34.5 ,20.7 ,22.0 b,23.6 ,31.0 ,31.1 ,31.5 ,31.8 ,33.7 ,36.1 ,37.8 ,39.7 ,39.8 ,42.3 ,44.3 b,45.0 ,44.2 ,46.2 ,46.6 ,45.2 ,45.6 ,48.4 b
ind4,M,Y25-34,PC,ED5-8,LU,23.7 ,24.8 ,23.5 ,19.0 b,31.9 ,35.3 ,31.6 ,31.7 b,34.8 ,42.2 b,42.5 ,44.6 ,47.8 ,42.3 ,48.0 b,45.0 b,48.7 ,47.1 u,49.5 ,51.3 ,55.0 ,58.0 b
ind4,M,Y25-34,PC,ED5-8,LV,13.4 ,12.3 u,13.1 b,13.4 ,15.2 ,15.9 ,17.0 ,19.4 ,21.0 ,22.2 ,23.9 ,23.9 ,26.2 ,28.4 ,27.8 b,26.0 ,30.1 ,29.8 ,30.0 ,33.6 ,33.8 ,36.2 b
ind4,M,Y25-34,PC,ED5-8,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,21.1 ,23.8 ,27.7 ,27.7 b,27.7 ,29.0 ,27.3 ,28.6 ,36.4 ,35.9 ,: 
ind4,M,Y25-34,PC,ED5-8,MK,: ,: ,: ,: ,: ,: ,10.0 ,12.7 ,13.3 ,16.0 ,20.1 ,21.8 ,23.1 ,21.4 ,22.5 b,24.2 ,26.6 ,26.5 ,27.4 ,30.9 ,31.6 ,: 
ind4,M,Y25-34,PC,ED5-8,MT,8.7 du,14.7 d,11.6 d,15.8 d,17.4 d,18.1 b,18.7 ,19.6 ,21.9 ,19.7 ,20.7 ,23.4 b,24.7 ,25.8 ,26.8 b,27.3 ,30.7 ,32.4 ,35.9 ,34.9 ,36.3 ,36.5 b
ind4,M,Y25-34,PC,ED5-8,NL,26.7 ,26.5 ,26.6 ,30.3 ,32.9 ,32.4 b,32.5 ,33.0 ,35.6 ,35.2 ,37.1 ,36.0 b,37.7 ,38.7 b,39.9 b,40.6 ,40.3 ,41.8 ,42.8 ,44.3 b,47.5 ,50.8 b
ind4,M,Y25-34,PC,ED5-8,NO,33.8 ,38.3 ,38.2 ,34.9 ,33.9 ,33.8 ,35.1 b,34.5 ,35.4 ,35.4 ,36.9 ,38.5 ,36.9 ,37.2 ,42.0 b,40.9 ,41.2 ,42.1 ,41.5 ,39.8 ,41.7 ,45.6 b
