indicator,unit,indic,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind8,PC,INV_GOV,EE,4.37 ,4.64 ,5.91 ,5.21 ,4.39 ,4.63 ,5.37 ,5.95 ,6.16 ,6.07 ,4.80 ,5.05 ,6.32 ,5.57 ,5.01 ,5.22 ,4.63 ,5.69 ,5.29 ,4.96 ,5.70 ,5.57 
ind8,PC,INV_GOV,EL,5.05 ,5.94 ,4.90 ,5.95 ,5.69 ,4.42 ,5.73 ,4.85 ,5.58 ,5.71 ,3.72 ,2.50 ,2.56 ,3.46 ,3.71 ,3.86 ,3.57 ,4.54 ,3.25 ,2.50 ,3.14 ,3.61 
ind8,PC,INV_GOV,ES,3.71 ,3.80 ,4.08 ,4.16 ,4.01 ,4.23 ,4.37 ,4.69 ,4.66 ,5.18 ,4.75 ,3.75 ,3.14 ,2.41 ,2.13 ,2.60 ,2.00 ,1.98 ,2.15 ,2.18 ,2.65 ,2.75 
ind8,PC,INV_GOV,EU27_2020,3.20 ,3.23 ,3.17 ,3.33 ,3.26 ,3.27 ,3.39 ,3.43 ,3.54 ,3.82 ,3.62 ,3.36 ,3.20 ,3.06 ,2.99 ,3.02 ,2.79 ,2.81 ,2.94 ,3.02 ,3.29 ,3.24 
ind8,PC,INV_GOV,EU28,2.92 ,3.00 ,2.96 ,3.12 ,3.11 ,3.23 ,3.23 ,3.27 ,3.46 ,3.75 ,3.55 ,3.31 ,3.09 ,2.98 ,2.96 ,2.96 ,2.77 ,2.80 ,2.91 ,3.00 ,: ,: 
ind8,PC,INV_GOV,FI,3.52 ,3.40 ,3.70 ,3.87 ,3.91 ,3.59 ,3.34 ,3.48 ,3.59 ,3.92 ,3.61 ,3.78 ,4.03 ,4.16 ,4.19 ,3.74 ,4.15 ,4.07 ,4.28 ,4.38 ,4.84 ,4.21 
ind8,PC,INV_GOV,FR,3.94 ,3.85 ,3.77 ,3.90 ,3.97 ,4.01 ,3.93 ,3.95 ,3.95 ,4.26 ,4.16 ,3.96 ,4.05 ,3.98 ,3.70 ,3.41 ,3.36 ,3.33 ,3.40 ,3.65 ,3.67 ,3.59 
ind8,PC,INV_GOV,HR,5.39 ,4.55 ,4.72 ,6.31 ,6.30 ,5.12 ,5.00 ,6.31 ,5.58 ,5.61 ,3.84 ,3.62 ,3.71 ,4.09 ,3.75 ,3.53 ,3.24 ,2.71 ,3.46 ,4.33 ,5.55 ,4.68 
ind8,PC,INV_GOV,HU,3.56 ,3.92 ,5.13 ,3.77 ,3.79 ,4.15 ,5.11 ,4.23 ,3.19 ,3.41 ,3.62 ,3.31 ,3.69 ,4.35 ,5.32 ,6.52 ,3.16 ,4.53 ,5.79 ,6.24 ,6.43 ,6.26 
ind8,PC,INV_GOV,IE,3.50 ,4.22 ,4.22 ,3.68 ,3.52 ,3.54 ,3.80 ,4.67 ,5.27 ,3.78 ,3.40 ,2.48 ,2.05 ,2.02 ,2.19 ,1.75 ,1.98 ,1.86 ,2.03 ,2.25 ,2.32 ,2.02 
ind8,PC,INV_GOV,IS,5.14 ,5.14 ,4.20 ,3.98 ,4.63 ,3.76 ,4.30 ,4.75 ,4.65 ,3.85 ,3.28 ,2.73 ,2.59 ,2.82 ,3.04 ,2.89 ,: ,: ,: ,: ,: ,: 
ind8,PC,INV_GOV,IT,2.84 ,3.01 ,2.50 ,3.09 ,3.18 ,3.21 ,3.19 ,3.17 ,3.15 ,3.66 ,3.10 ,2.92 ,2.64 ,2.51 ,2.32 ,2.40 ,2.30 ,2.20 ,2.13 ,2.31 ,2.57 ,2.85 
