airpol,src_crf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
GHG,CRF4,T_HAB,TR,-0.9 ,-1.0 ,-1.1 ,-1.1 ,-1.1 ,-1.1 ,-1.1 ,-1.1 ,-1.0 ,-1.0 ,-1.0 ,-1.0 ,-1.0 ,-1.0 ,-1.0 ,-1.2 ,-1.2 ,-1.2 ,-1.2 be,-1.0 be,-0.7 
GHG,CRF4,T_HAB,UK,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,: 
GHG,CRF4,T_KM2,AT,-197.4 ,-231.4 ,-171.4 ,-59.4 ,-110.9 ,-128.4 ,-60.2 ,-62.9 ,-47.6 ,-29.3 ,-45.0 ,-49.6 ,-41.8 ,-30.3 ,-28.4 ,-26.2 ,-24.4 ,-33.3 ,-37.4 ,-31.3 ,-14.9 
GHG,CRF4,T_KM2,BE,-54.8 ,-49.2 ,-68.5 ,-65.1 ,-55.3 ,-57.2 ,-56.5 ,-46.6 ,-44.2 ,-38.5 ,-11.7 ,-9.3 ,-8.8 ,-29.9 ,-29.3 ,-27.7 ,-24.6 ,-20.6 ,-19.4 ,-15.4 ,-11.0 
GHG,CRF4,T_KM2,BG,-160.0 ,-135.5 ,-138.1 ,-134.1 ,-140.7 ,-152.4 ,-122.3 ,-130.7 ,-115.6 ,-116.3 ,-110.8 ,-80.5 ,-75.9 ,-65.9 ,-77.2 ,-72.8 ,-89.0 ,-88.4 ,-90.5 ,-90.0 ,-86.5 
GHG,CRF4,T_KM2,CH,125.6 ,-24.0 ,-65.0 ,-64.4 ,-63.5 ,-69.6 ,-46.9 ,-20.7 ,-53.3 ,-78.3 ,-71.0 ,-30.1 ,-60.3 ,-49.0 ,-7.3 ,-52.5 ,-51.6 ,-45.9 ,-21.9 ,-51.2 ,-41.3 
GHG,CRF4,T_KM2,CY,-7.3 ,-22.5 ,-31.4 ,-31.4 ,-30.3 ,-31.6 ,-30.7 ,-15.2 ,-34.3 ,-35.4 ,-31.9 ,-36.4 ,-35.5 ,-38.2 ,-38.4 ,-38.6 ,1.8 ,-39.0 ,-37.7 ,-37.7 ,-37.7 
GHG,CRF4,T_KM2,CZ,-119.0 ,-118.0 ,-114.6 ,-107.1 ,-104.4 ,-105.7 ,-90.3 ,-82.6 ,-99.3 ,-97.8 ,-89.3 ,-93.3 ,-94.8 ,-86.6 ,-85.6 ,-84.7 ,-73.5 ,-52.2 ,17.8 ,104.4 ,161.9 
GHG,CRF4,T_KM2,DE,-26.8 ,-49.7 ,43.8 ,32.1 ,22.4 ,12.2 ,-8.9 ,0.5 ,-32.6 ,-55.4 ,-41.1 ,-44.7 ,-72.8 ,-65.3 ,-63.3 ,-57.1 ,-62.8 ,-61.8 ,-56.1 ,-41.6 ,-31.5 
GHG,CRF4,T_KM2,DK,119.6 ,108.2 ,131.9 ,125.7 ,119.8 ,118.9 ,122.6 ,129.1 ,95.6 ,78.9 ,57.3 ,46.6 ,34.2 ,25.7 ,42.3 ,18.5 ,43.9 ,42.4 ,87.1 ,67.4 ,72.4 
