org_inst,sex,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
PARL_NAT,F,PC_WMN,EL,9.0 d,13.0 ,13.0 ,12.7 ,14.3 ,16.0 ,17.0 ,17.0 ,17.3 ,21.0 ,21.0 ,21.0 ,19.7 ,18.3 ,18.3 ,18.3 ,21.7 ,21.7 ,21.3 ,19.0 
PARL_NAT,F,PC_WMN,ES,28.6 d,31.6 ,31.0 ,30.7 ,31.7 ,33.3 ,33.8 ,34.6 ,28.7 ,37.2 ,37.2 ,37.7 ,39.9 ,38.3 ,38.8 ,39.5 ,41.9 ,42.2 ,41.1 ,41.0 
PARL_NAT,F,PC_WMN,EU27_2020,21.1 d,21.4 ,21.9 ,22.2 ,23.0 ,23.8 ,24.0 ,24.0 ,23.9 ,25.9 ,27.3 ,27.8 ,28.2 ,28.4 ,30.0 ,30.9 ,32.1 ,32.7 ,33.1 ,32.5 
PARL_NAT,F,PC_WMN,EU28,20.5 d,20.9 ,21.5 ,21.7 ,22.5 ,23.2 ,23.4 ,23.6 ,23.6 ,25.3 ,26.7 ,27.2 ,28.0 ,28.2 ,29.8 ,30.6 ,31.7 ,: ,: ,: 
PARL_NAT,F,PC_WMN,FI,37.2 d,38.2 ,38.2 ,38.2 ,41.5 ,41.3 ,40.0 ,39.5 ,42.5 ,42.5 ,42.5 ,42.0 ,41.5 ,42.0 ,42.0 ,41.5 ,46.5 ,46.0 ,46.0 ,45.5 
PARL_NAT,F,PC_WMN,FR,11.6 d,14.1 ,15.9 ,14.7 ,18.3 ,19.8 ,20.0 ,20.4 ,20.3 ,24.6 ,24.8 ,26.0 ,26.3 ,26.2 ,36.3 ,37.0 ,37.1 ,38.6 ,39.1 ,36.6 
PARL_NAT,F,PC_WMN,HR,: ,: ,: ,: ,20.9 ,21.6 ,23.5 ,24.8 ,25.5 ,25.8 ,23.8 ,25.8 ,25.2 ,18.5 ,18.0 ,20.5 ,19.9 ,31.1 ,31.8 ,32.5 
PARL_NAT,F,PC_WMN,HU,9.6 d,8.8 ,8.8 ,10.1 ,11.2 ,10.9 ,11.2 ,8.8 ,8.8 ,9.1 ,9.4 ,10.1 ,10.1 ,10.1 ,10.1 ,12.6 ,12.2 ,12.6 ,13.1 ,13.1 
PARL_NAT,F,PC_WMN,IE,13.7 d,12.9 ,14.3 ,12.9 ,15.5 ,15.0 ,16.3 ,15.5 ,19.0 ,18.9 ,19.9 ,19.9 ,20.1 ,24.3 ,24.3 ,24.3 ,24.3 ,27.3 ,27.7 ,27.9 
PARL_NAT,F,PC_WMN,IS,35.5 d,30.6 ,32.8 ,33.9 ,31.7 ,33.3 ,42.9 ,41.3 ,38.7 ,39.7 ,41.0 ,41.3 ,46.0 ,47.6 ,38.1 ,38.1 ,38.1 ,39.7 ,47.6 ,47.6 
PARL_NAT,F,PC_WMN,IT,10.2 d,9.9 ,10.7 ,16.1 ,16.2 ,20.2 ,20.3 ,20.2 ,20.5 ,20.6 ,30.5 ,30.3 ,30.2 ,30.1 ,30.2 ,35.3 ,35.8 ,35.6 ,35.8 ,33.0 
PARL_NAT,F,PC_WMN,LI,12.5 d,12.5 ,25.0 ,25.0 ,24.0 ,24.0 ,28.0 ,24.0 ,24.0 ,24.0 ,20.0 ,20.0 ,20.0 ,20.0 ,12.0 ,16.0 ,12.0 ,12.0 ,28.0 ,28.0 
PARL_NAT,F,PC_WMN,LT,: ,22.1 ,22.9 ,22.1 ,23.4 ,23.4 ,18.7 ,19.1 ,19.1 ,23.7 ,24.1 ,23.6 ,24.1 ,21.3 ,20.6 ,22.0 ,24.1 ,26.2 ,28.4 ,27.7 
PARL_NAT,F,PC_WMN,LU,20.3 d,23.7 ,20.7 ,23.7 ,25.0 ,25.0 ,20.0 ,20.0 ,23.7 ,23.3 ,23.3 ,28.3 ,28.3 ,28.3 ,28.3 ,21.7 ,28.3 ,31.7 ,35.0 ,35.0 
PARL_NAT,F,PC_WMN,LV,20.2 d,17.2 ,21.2 ,19.2 ,20.0 ,21.0 ,22.0 ,19.0 ,21.0 ,23.0 ,25.0 ,18.0 ,17.0 ,16.0 ,17.0 ,31.0 ,30.0 ,29.0 ,28.0 ,30.3 
PARL_NAT,F,PC_WMN,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,17.3 ,23.5 ,23.5 ,23.5 ,29.6 ,25.6 ,27.2 ,: 
PARL_NAT,F,PC_WMN,MK,: ,: ,: ,: ,30.0 ,31.1 ,32.5 ,34.2 ,33.1 ,31.7 ,34.1 ,35.9 ,34.1 ,35.0 ,36.3 ,38.3 ,40.0 ,35.8 ,40.2 ,: 
PARL_NAT,F,PC_WMN,MT,: ,9.4 ,9.4 ,9.4 ,9.4 ,8.7 ,8.7 ,8.7 ,8.7 ,8.7 ,14.3 ,12.9 ,13.0 ,13.0 ,14.5 ,14.5 ,14.9 ,13.4 ,13.4 ,27.8 
PARL_NAT,F,PC_WMN,NL,36.3 d,36.3 ,35.4 ,34.1 ,37.3 ,39.1 ,39.6 ,38.7 ,39.1 ,37.5 ,37.3 ,36.9 ,36.9 ,36.9 ,36.0 ,33.8 ,35.1 ,32.9 ,37.8 ,36.0 
PARL_NAT,F,PC_WMN,NO,36.8 d,38.0 ,35.5 ,34.7 ,34.9 ,36.1 ,38.5 ,39.1 ,39.6 ,39.6 ,38.5 ,38.7 ,39.6 ,39.6 ,40.8 ,40.8 ,40.8 ,40.8 ,45.0 ,45.0 
PARL_NAT,F,PC_WMN,PL,: ,21.5 ,21.1 ,18.1 ,18.6 ,18.1 ,17.9 ,17.5 ,22.0 ,22.0 ,22.3 ,21.5 ,24.6 ,25.5 ,25.9 ,26.1 ,27.9 ,27.7 ,27.5 ,27.5 
PARL_NAT,F,PC_WMN,PT,20.5 d,19.7 ,25.3 ,24.9 ,28.7 ,28.7 ,29.6 ,30.4 ,29.1 ,29.1 ,31.3 ,31.3 ,34.3 ,34.3 ,35.2 ,36.4 ,40.4 ,39.5 ,40.9 ,35.7 
PARL_NAT,F,PC_WMN,RO,10.3 d,10.5 ,10.7 ,10.5 ,9.4 ,10.4 ,9.8 ,9.8 ,9.6 ,9.9 ,11.7 ,11.9 ,12.1 ,12.0 ,19.1 ,19.6 ,19.8 ,20.0 ,20.0 ,20.0 
PARL_NAT,F,PC_WMN,RS,: ,: ,: ,: ,20.8 ,22.4 ,22.4 ,22.4 ,24.4 ,32.4 ,34.1 ,33.6 ,33.6 ,34.0 ,36.4 ,37.6 ,37.6 ,39.4 ,39.6 ,: 
PARL_NAT,F,PC_WMN,SE,45.0 d,47.9 ,48.9 ,47.4 ,47.3 ,46.4 ,46.4 ,45.6 ,45.0 ,43.6 ,44.4 ,43.6 ,43.6 ,45.8 ,46.1 ,46.7 ,47.6 ,49.6 ,47.6 ,46.4 
PARL_NAT,F,PC_WMN,SI,11.7 d,11.2 ,11.7 ,11.7 ,9.4 ,10.0 ,11.5 ,11.7 ,12.3 ,26.9 ,25.4 ,28.7 ,26.2 ,26.9 ,26.9 ,22.3 ,22.1 ,21.2 ,22.1 ,29.5 
PARL_NAT,F,PC_WMN,SK,18.7 d,16.8 ,17.4 ,20.8 ,18.7 ,18.7 ,18.0 ,16.0 ,16.0 ,18.7 ,18.7 ,20.0 ,20.0 ,20.5 ,21.3 ,20.7 ,20.7 ,22.7 ,21.3 ,22.0 
PARL_NAT,F,PC_WMN,TR,: ,: ,4.4 ,2.6 ,9.1 ,9.1 ,9.0 ,8.9 ,14.4 ,14.4 ,14.4 ,14.4 ,14.9 ,14.7 ,14.0 ,17.4 ,17.3 ,17.3 ,17.3 ,: 
PARL_NAT,F,PC_WMN,UK,17.2 d,17.9 ,19.1 ,19.1 ,19.6 ,19.6 ,19.9 ,21.5 ,22.0 ,22.3 ,23.0 ,23.7 ,27.2 ,27.6 ,28.7 ,28.9 ,29.5 ,30.6 ,31.1 ,: 
PARL_NAT,F,PC_WMN,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,31.9 ,32.5 ,32.5 ,34.2 ,: 
