wstatus,age,unit,geo\time,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
EMP_TEMP,Y20-64,PC_PNT,BE,-2.9 ,-2.3 ,-2.0 ,-1.7 ,-1.5 ,-1.4 ,-0.9 ,-1.1 ,-0.9 b,-1.1 ,-0.7 ,-0.7 ,-2.0 
EMP_TEMP,Y20-64,PC_PNT,BG,0.5 ,0.5 b,0.2 b,0.5 ,0.4 ,0.2 ,0.1 ,0.4 ,0.4 ,0.1 ,0.2 ,0.4 ,0.8 
EMP_TEMP,Y20-64,PC_PNT,CH,: ,-0.8 b,-1.5 ,-0.6 ,-1.2 ,-1.4 ,-0.6 ,-0.9 ,-1.0 ,-0.8 ,-0.9 ,-0.9 ,-1.3 
EMP_TEMP,Y20-64,PC_PNT,CY,-11.7 ,-12.9 ,-13.1 ,-11.6 ,-13.5 ,-11.4 ,-9.9 ,-9.4 ,-6.5 ,-6.3 ,-8.2 ,-8.8 ,-7.5 
EMP_TEMP,Y20-64,PC_PNT,CZ,-3.5 ,-3.4 ,-3.0 b,-3.1 ,-3.4 ,-3.3 ,-3.7 ,-3.6 ,-4.0 ,-4.2 ,-3.4 ,-2.5 ,-2.6 
EMP_TEMP,Y20-64,PC_PNT,DE,-1.7 ,-1.8 b,-1.7 b,-1.4 ,-1.4 ,-1.3 ,-1.3 ,-1.2 ,-1.0 ,-0.6 ,-0.5 ,-0.4 b,-0.4 
EMP_TEMP,Y20-64,PC_PNT,DK,-2.7 ,-1.8 ,-2.1 ,-2.5 ,-2.3 ,-1.8 ,-2.4 ,-4.0 b,-2.9 b,-3.1 ,-2.8 ,-3.9 ,-3.7 
EMP_TEMP,Y20-64,PC_PNT,EA19,-3.3 ,-2.9 ,-2.7 ,-2.6 ,-2.3 ,-2.2 ,-2.0 ,-2.0 ,-2.1 ,-2.1 ,-1.9 ,-2.0 ,-2.4 
EMP_TEMP,Y20-64,PC_PNT,EA20,-3.3 ,-2.9 ,-2.7 ,-2.5 ,-2.3 ,-2.2 ,-2.0 ,-2.0 ,-2.2 ,-2.2 ,-1.9 ,-2.0 ,-2.5 
EMP_TEMP,Y20-64,PC_PNT,EE,0.9 ,2.0 ,1.7 ,1.7 ,1.1 ,0.2 ,0.6 ,0.7 ,0.4 ,0.1 ,-0.2 ,-0.3 ,0.0 
EMP_TEMP,Y20-64,PC_PNT,EL,-3.8 ,-3.7 ,-2.9 ,-3.0 ,-2.5 ,-2.4 ,-2.3 ,-2.7 ,-3.7 ,-4.2 ,-4.2 ,-3.3 ,-4.0 
EMP_TEMP,Y20-64,PC_PNT,ES,-5.0 ,-4.1 ,-4.1 ,-4.4 ,-3.7 ,-2.9 ,-2.2 ,-2.6 ,-3.5 ,-3.5 ,-3.6 ,-4.5 ,-5.9 d
EMP_TEMP,Y20-64,PC_PNT,EU27_2020,-2.9 ,-2.6 ,-2.3 ,-2.3 ,-2.1 ,-2.0 ,-1.9 ,-2.0 ,-2.1 ,-2.3 ,-2.0 ,-2.1 ,-2.3 
EMP_TEMP,Y20-64,PC_PNT,FI,-8.5 ,-7.0 ,-6.6 ,-6.5 ,-6.9 ,-6.7 ,-6.2 ,-6.1 ,-6.7 ,-6.8 ,-6.3 ,-5.6 ,-5.6 
EMP_TEMP,Y20-64,PC_PNT,FR,-3.4 ,-2.8 ,-2.4 ,-2.5 ,-2.0 ,-2.6 ,-2.3 ,-1.9 ,-2.2 ,-2.3 ,-1.8 ,-2.3 ,-2.5 d
EMP_TEMP,Y20-64,PC_PNT,HR,-2.3 ,-2.3 ,-1.0 ,-0.6 ,-0.2 ,-1.3 ,-0.8 ,-2.1 ,-1.1 ,-1.9 ,-3.3 ,-2.8 ,-4.2 
EMP_TEMP,Y20-64,PC_PNT,HU,1.1 ,0.8 ,1.0 ,1.7 ,1.0 ,0.7 ,0.4 ,-0.6 ,-0.9 ,-1.0 ,-0.9 ,-1.0 ,-0.8 
EMP_TEMP,Y20-64,PC_PNT,IE,-3.0 ,-2.3 ,-2.1 ,-1.9 ,-1.2 ,-1.6 ,-1.3 ,-1.7 ,-1.5 b,-1.9 ,-2.0 ,-1.9 ,-1.3 
EMP_TEMP,Y20-64,PC_PNT,IS,-2.2 ,-1.9 ,-1.3 ,-1.0 ,-1.0 ,-1.2 ,-3.4 ,-3.2 ,-3.0 ,-3.6 ,-2.9 ,-3.2 b,-4.0 
EMP_TEMP,Y20-64,PC_PNT,IT,-4.2 ,-3.8 ,-3.4 ,-3.1 ,-2.7 ,-2.3 ,-2.2 ,-2.2 ,-2.3 ,-2.7 ,-2.3 ,-2.0 ,-2.9 
EMP_TEMP,Y20-64,PC_PNT,LT,1.1 ,1.4 ,1.5 ,1.1 ,1.2 ,1.3 ,0.4 ,0.2 ,0.5 ,0.2 ,0.1 ,0.1 ,0.0 
EMP_TEMP,Y20-64,PC_PNT,LU,-2.0 ,-2.3 ,-2.1 ,-1.1 ,-3.0 ,-2.4 ,-0.2 b,-0.5 ,-0.9 ,-1.7 ,-0.2 ,-1.2 ,-1.7 
EMP_TEMP,Y20-64,PC_PNT,LV,1.8 ,2.5 ,1.1 ,1.9 ,1.0 ,1.1 ,0.9 ,0.8 ,0.7 ,0.2 ,0.7 ,0.1 ,0.8 
EMP_TEMP,Y20-64,PC_PNT,ME,: ,: ,-2.7 ,-2.8 ,-2.7 ,-0.5 ,-5.1 ,-1.2 ,-1.7 ,-1.4 ,0.1 ,1.6 ,: 
EMP_TEMP,Y20-64,PC_PNT,MK,2.2 ,2.7 ,2.2 ,1.2 ,0.7 ,1.5 ,1.0 ,1.4 ,1.2 ,1.7 ,1.4 ,2.7 ,: 
EMP_TEMP,Y20-64,PC_PNT,MT,-2.7 ,-2.7 ,-3.0 ,-2.1 ,-2.8 ,-3.5 ,-2.8 ,-2.7 ,-2.3 ,-1.7 ,-3.1 ,-4.1 ,-3.2 
EMP_TEMP,Y20-64,PC_PNT,NL,-6.7 ,-5.7 ,-5.1 ,-5.0 ,-5.0 ,-4.7 ,-5.1 ,-5.1 ,-5.2 ,-5.4 ,-4.8 ,-4.5 ,-4.5 
