indicator,waste,hazard,nace_r2,unit,geo\time,2004 ,2006 ,2008 ,2010 ,2012 ,2014 ,2016 ,2018 ,2020 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,TR,785 ,665 ,829 ,763 ,766 ,844 ,831 ,955 ,930 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,UK,2676 ,2504 ,2313 ,1664 ,1690 ,1723 ,1775 ,1877 ,: 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,XK,: ,: ,: ,: ,531 ,454 ,1397 ,1456 ,1414 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,AT,2764 ,2660 ,2643 ,1767 ,1633 ,1726 ,1772 ,1770 ,1717 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,BA,: ,: ,: ,: ,815 ,1309 ,1600 ,1605 ,: 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,BE,3008 ,3000 ,2235 ,3262 ,2673 ,2939 ,3138 ,3297 ,3379 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,BG,2113 ,1789 ,2191 ,1919 ,2437 ,2437 ,2486 ,3067 ,2598 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,CY,2465 ,1163 ,1038 ,1014 ,737 ,719 ,812 ,895 ,1020 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,CZ,1639 ,1185 ,1088 ,1085 ,1110 ,1038 ,1133 ,1426 b,1344 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,DE,1348 ,1316 ,1413 ,1555 ,1633 ,1735 ,1721 ,1698 ,1652 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,DK,1464 ,1579 ,1642 ,1834 ,1659 ,1693 ,1560 ,1679 ,1614 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,EE,5417 ,3677 ,2615 ,1908 ,1681 ,1614 ,1621 ,1524 ,5188 b
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,EL,2522 ,2655 ,2077 ,1991 ,2026 ,1910 ,1281 ,1389 ,1146 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,ES,1840 ,1637 ,1466 ,1273 ,1316 ,1367 ,1416 ,1475 ,1353 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,EU27_2020,1691 ,1683 ,1617 ,1590 ,1594 ,1608 ,1631 ,1677 ,1614 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,EU28,1795 ,1768 ,1691 ,1591 ,1596 ,1614 ,1639 ,1694 ,: 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,FI,4314 ,4705 ,4206 ,4346 ,3787 ,2368 ,2447 ,2408 ,2082 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,FR,1387 ,1355 ,1373 ,1390 ,1394 ,1332 ,1337 ,1391 ,1340 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,HR,1109 ,935 ,742 ,699 ,654 ,698 ,818 ,885 ,983 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,HU,1761 ,1541 ,1149 ,1113 ,1082 ,1163 ,1077 ,1051 ,993 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,IE,1260 ,1193 ,567 ,2336 ,1662 ,1578 ,1664 ,1490 ,1334 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,IS,1653 ,: ,1993 ,1493 ,1559 ,1228 ,1389 ,1501 ,1358 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,IT,1344 ,1420 ,1494 ,1545 ,1575 ,1620 ,1652 ,1698 ,1695 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,LI,: ,: ,1770 ,1608 ,1894 ,1088 ,1131 ,1066 ,: 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,LT,1875 ,1698 ,1707 ,951 ,956 ,1072 ,1188 ,1354 ,1414 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,LU,2505 ,2711 ,2044 ,2703 ,2171 ,1370 ,2270 ,2009 ,1916 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,LV,523 ,749 ,602 ,598 ,864 ,957 ,716 ,663 ,1249 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,ME,: ,: ,: ,: ,1120 ,1108 ,1162 ,1171 ,1147 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,MK,: ,: ,615 ,710 ,3708 ,998 ,312 ,452 ,434 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,MT,725 ,780 ,845 ,755 ,852 ,875 ,983 ,1029 ,888 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,NL,2401 ,2401 ,2460 ,2490 ,2407 ,2401 ,2406 ,2473 ,2431 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,NO,1277 ,1650 ,1607 ,1365 ,1698 ,1389 ,1379 ,1420 ,1226 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,PL,1492 ,1549 ,1542 ,1726 ,1821 ,1947 ,2053 ,2041 ,1894 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,PT,1755 ,2000 ,1316 ,1031 ,1022 ,1055 ,1071 ,1215 ,1244 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,RO,1849 ,2289 ,2270 ,1138 ,1136 ,1030 ,1064 ,1093 ,939 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,RS,: ,: ,: ,950 ,921 ,1027 b,1363 ,1687 ,1750 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,SE,2526 ,2496 ,2365 ,1780 ,1745 ,1718 ,1956 ,1935 ,1769 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,SI,2106 ,1934 ,1613 ,1817 ,1642 ,1540 ,1405 ,1422 ,1298 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,SK,1223 ,1745 ,1590 ,1174 ,1194 ,1114 ,1395 ,1505 ,1354 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,TR,771 ,665 ,816 ,750 ,756 ,832 ,816 ,919 ,889 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,UK,2552 ,2374 ,2220 ,1592 ,1616 ,1650 ,1698 ,1799 ,: 
ind12,TOT_X_MIN,NHAZ,TOTAL_HH,KG_HAB,XK,: ,: ,: ,: ,530 ,453 ,1397 ,1454 ,1414 
