indicator,unit,hhtyp,incgrp,sex,age,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind6,PC,TOTAL,B_MD60,T,TOTAL,IS,: ,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,: ,: 
ind6,PC,TOTAL,B_MD60,T,TOTAL,IT,: ,0.4 ,0.3 ,0.2 ,0.2 ,0.1 ,0.1 ,0.1 ,0.3 ,0.2 ,0.3 ,0.0 ,0.0 ,0.1 ,0.7 ,0.3 ,1.0 ,0.8 
ind6,PC,TOTAL,B_MD60,T,TOTAL,LT,: ,: ,43.3 ,44.3 ,40.3 ,41.0 ,34.9 ,27.4 ,31.8 ,31.7 ,27.9 ,27.4 ,28.7 ,33.9 ,27.6 ,24.0 ,23.0 ,18.1 
ind6,PC,TOTAL,B_MD60,T,TOTAL,LU,1.0 ,0.7 ,0.9 ,1.0 ,0.7 ,0.8 ,0.8 ,1.0 ,0.2 ,0.2 ,0.0 ,0.0 ,0.0 ,0.2 b,0.1 ,0.1 ,0.4 ,0.0 b
ind6,PC,TOTAL,B_MD60,T,TOTAL,LV,: ,: ,41.7 ,33.8 ,38.3 ,32.9 b,32.6 ,33.8 ,30.9 ,32.5 ,29.9 ,30.9 ,30.2 ,29.6 ,24.3 ,20.4 ,20.1 ,17.4 
ind6,PC,TOTAL,B_MD60,T,TOTAL,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,4.5 ,5.4 ,4.2 ,5.3 ,3.7 ,2.3 ,2.1 ,2.4 
ind6,PC,TOTAL,B_MD60,T,TOTAL,MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,16.7 ,16.2 ,18.6 ,8.5 ,8.6 ,5.8 ,3.9 ,5.8 ,4.3 
ind6,PC,TOTAL,B_MD60,T,TOTAL,MT,: ,: ,0.4 ,0.3 ,0.0 ,0.0 ,0.1 ,0.0 ,0.4 ,0.2 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,B_MD60,T,TOTAL,NL,: ,: ,: ,: ,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.2 b,0.4 ,0.0 ,0.1 ,0.1 
ind6,PC,TOTAL,B_MD60,T,TOTAL,NO,1.8 ,0.5 ,0.5 ,0.3 ,0.5 ,0.3 ,0.0 ,0.1 ,1.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
