indicator,mortalit,sex,icd10,unit,geo\time,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind3,TRT,T,TOTAL,RT,LV,236.17 ,226 ,220.85 ,209.33 ,206.92 ,203.16 ,198.95 ,196.35 p,188.59 p,185.53 
ind3,TRT,T,TOTAL,RT,MT,107.44 ,109.36 ,91.64 ,93.87 ,86.61 ,87.35 ,85.08 ,91.77 p,84.99 p,89.3 
ind3,TRT,T,TOTAL,RT,NL,79.08 ,78.44 ,73.85 ,68.58 ,70.71 ,68.93 ,64.98 ,64.56 p,61.29 p,58.96 
ind3,TRT,T,TOTAL,RT,NO,76.02 ,74.74 ,70.08 ,66.86 ,64.33 ,62.97 ,61.61 ,58.65 p,56.98 p,56.89 
ind3,TRT,T,TOTAL,RT,PL,149.1 ,146.39 ,142.25 ,130.93 ,131.19 ,129.79 ,131.99 ,133.1 p,133.69 p,144.19 
ind3,TRT,T,TOTAL,RT,PT,94.78 ,93.05 ,90.06 ,89.16 ,86.9 ,88.87 ,84.01 ,82.87 p,79.02 p,79.12 
ind3,TRT,T,TOTAL,RT,RO,224.5 ,219.8 ,210.96 ,207.64 ,208.96 ,208 ,205.98 ,210.6 p,208.57 p,235.06 
ind3,TRT,T,TOTAL,RT,RS,185.31 ,180.25 ,172.07 ,167.79 ,178.63 ,172.76 ,173.51 ,169.81 p,169.87 p,183.26 
ind3,TRT,T,TOTAL,RT,SE,77.46 ,75.7 ,74.74 ,70.54 ,70.85 ,67.64 ,66.61 ,65.62 p,60.18 p,62.05 
ind3,TRT,T,TOTAL,RT,SI,100.58 ,94.13 ,94.89 ,89.34 ,92.27 ,79.64 ,78.17 ,77.36 p,71.98 p,69.75 
ind3,TRT,T,TOTAL,RT,SK,181.97 ,182.3 ,183.33 ,170.9 ,176.93 ,168.34 ,173.71 ,165.32 p,163.53 p,168.84 
ind3,TRT,T,TOTAL,RT,TR,126.14 ,120.96 ,137.07 ,139.09 ,139.28 ,141.17 ,137.27 ,135.24 p,130.71 p,: 
ind3,TRT,T,TOTAL,RT,UK,94.39 ,92.47 ,90.08 ,88.41 ,89.59 ,90.17 ,88.43 ,87.41 p,: ,: 
