indicator,icd10,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind3,B15-B19_B942,EL,0.50 ,0.60 ,0.80 ,0.90 ,0.90 ,0.90 ,0.90 ,0.70 ,0.80 ,0.70 ,0.70 ,0.68 ,0.86 ,0.90 ,1.00 ,0.66 ,0.64 ,0.65 ,0.67 p,0.66 p,0.52 
ind3,B15-B19_B942,ES,2.40 ,2.60 ,2.60 ,2.80 ,2.90 ,2.70 ,2.50 ,2.40 ,2.20 ,2.50 ,2.20 ,1.96 ,1.89 ,1.84 ,1.98 ,1.90 ,1.59 ,1.27 ,1.11 p,0.93 p,0.91 
ind3,B15-B19_B942,EU27_2020,: ,: ,1.70 e,1.80 e,1.70 e,1.70 e,1.60 e,1.60 e,1.60 e,1.70 e,1.60 e,1.64 ,1.67 ,1.56 ,1.53 ,1.52 ,1.38 ,1.25 ,1.03 p,0.92 p,0.84 
ind3,B15-B19_B942,EU28,: ,: ,1.50 e,1.60 e,1.60 e,1.50 e,1.50 e,1.50 e,1.50 e,1.50 e,1.50 e,1.51 d,1.52 d,1.42 d,1.40 ,1.41 ,1.26 ,1.14 ,0.94 p,: ,: 
ind3,B15-B19_B942,FI,0.30 ,0.40 ,0.30 ,0.20 ,0.30 ,0.20 ,0.10 ,0.30 ,0.20 ,0.30 ,0.10 ,0.16 ,0.13 ,0.14 ,0.17 ,0.11 ,0.12 ,0.04 ,0.21 p,0.10 p,0.16 
ind3,B15-B19_B942,FR,: ,1.80 ,1.70 ,1.40 ,1.40 ,1.40 ,1.30 ,1.20 ,1.40 ,1.10 ,1.10 ,1.14 ,1.08 ,1.00 ,0.89 ,0.92 ,0.88 ,1.15 ,0.67 p,0.63 p,0.50 
ind3,B15-B19_B942,HR,: ,: ,0.40 ,0.50 ,0.90 ,1.00 ,1.00 ,1.20 ,0.70 ,0.70 ,1.00 ,0.81 ,1.06 d,0.94 d,1.19 ,1.41 ,1.71 ,1.22 ,1.20 p,1.01 p,0.77 
ind3,B15-B19_B942,HU,0.10 ,0.20 ,0.20 ,0.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.40 ,0.30 ,0.40 d,1.81 d,2.07 d,2.02 ,2.05 ,1.77 ,1.51 ,1.19 p,1.16 p,1.11 
ind3,B15-B19_B942,IE,0.60 ,0.40 ,0.40 ,0.30 ,0.40 ,0.40 ,0.50 ,0.30 ,0.50 ,0.50 ,0.70 ,0.48 ,0.50 ,0.69 ,0.58 ,0.56 ,0.53 ,0.50 ,0.23 p,0.19 p,0.30 
ind3,B15-B19_B942,IS,: ,: ,0.60 ,: ,: ,: ,: ,0.60 ,: ,: ,: ,: ,: ,: ,0.39 ,1.35 ,: ,0.00 ,0.30 p,0.30 p,0.00 
ind3,B15-B19_B942,IT,2.70 ,2.70 ,3.50 ,4.10 ,: ,: ,4.00 ,4.30 ,4.30 ,4.20 ,4.30 ,4.59 ,4.66 ,4.24 ,4.02 ,4.03 ,3.77 ,3.26 ,2.69 p,2.44 p,2.26 
ind3,B15-B19_B942,LI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,5.86 ,: ,: ,: ,: ,: ,3.32 ,0.00 p,0.00 p,0.00 
ind3,B15-B19_B942,LT,0.40 ,0.40 ,0.60 ,0.70 ,0.40 ,0.50 ,0.30 ,0.40 ,0.40 ,0.30 ,0.80 ,1.06 ,0.59 ,1.05 ,1.05 ,0.99 ,1.06 ,0.92 ,1.02 p,0.89 p,0.76 
ind3,B15-B19_B942,LU,0.60 ,1.10 ,0.70 ,1.50 ,1.30 ,0.50 ,0.30 ,0.80 ,: ,0.20 ,1.10 ,0.85 ,0.41 ,1.63 ,1.21 ,0.51 ,0.52 ,1.48 ,0.66 p,0.42 p,0.71 
ind3,B15-B19_B942,LV,0.30 ,0.30 ,0.50 ,0.70 ,0.70 ,0.60 ,0.90 ,1.40 ,2.00 ,2.30 ,1.60 ,1.64 ,1.74 ,2.52 ,2.26 ,2.60 ,3.10 ,3.10 ,2.39 p,3.06 p,2.17 
ind3,B15-B19_B942,MK,0.60 ,0.50 ,0.60 ,0.20 ,0.70 ,0.10 ,0.40 ,0.60 ,0.30 ,0.40 ,0.10 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind3,B15-B19_B942,MT,: ,1.10 ,1.60 ,1.30 ,0.40 ,0.90 ,0.50 ,0.70 ,2.30 ,1.40 ,: ,1.65 ,0.68 ,0.54 ,0.70 ,: ,0.43 ,0.47 ,0.47 p,0.00 p,0.00 
ind3,B15-B19_B942,NL,0.40 ,0.50 ,0.40 ,0.40 ,0.40 ,0.30 ,0.40 ,0.30 ,0.40 ,0.30 ,0.40 ,0.32 ,0.39 ,0.36 ,0.20 ,0.35 ,0.26 ,0.19 ,0.17 p,0.21 p,0.19 
ind3,B15-B19_B942,NO,0.40 ,0.40 ,0.20 ,0.30 ,0.40 ,0.40 ,0.20 ,0.30 ,0.60 ,0.50 ,0.30 ,0.28 ,0.18 ,0.24 ,0.40 ,0.41 ,0.36 ,0.16 ,0.31 p,0.18 p,0.19 
ind3,B15-B19_B942,PL,0.90 ,0.80 ,0.80 ,0.90 ,0.80 ,0.80 ,0.80 ,0.80 ,0.80 ,0.70 ,0.70 ,0.77 ,0.85 ,0.69 ,0.93 ,0.91 ,0.79 ,0.60 ,0.46 p,0.34 p,0.29 
ind3,B15-B19_B942,PT,1.30 ,0.80 ,1.10 ,1.50 ,0.90 ,1.10 ,0.90 ,1.40 ,0.90 ,1.10 ,1.10 ,1.08 ,1.19 ,1.28 ,1.45 ,1.27 ,1.19 ,0.85 ,0.90 p,0.85 p,0.95 
ind3,B15-B19_B942,RO,0.20 ,0.30 ,0.20 ,0.30 ,0.30 ,0.30 ,0.20 ,0.30 ,0.30 ,0.30 ,0.20 ,0.22 ,0.27 ,0.26 ,0.44 ,0.46 ,0.53 ,0.73 ,0.77 p,0.74 p,0.72 
ind3,B15-B19_B942,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.41 ,0.55 ,0.60 ,0.56 ,0.59 ,0.52 ,0.38 ,0.59 p,0.36 p,0.39 
ind3,B15-B19_B942,SE,0.40 ,0.40 ,0.70 ,0.60 ,0.60 ,0.80 ,0.70 ,0.80 ,0.70 ,0.90 ,0.60 ,0.62 ,0.61 ,0.89 ,0.64 ,0.82 ,0.60 ,0.46 ,0.59 p,0.36 p,0.30 
ind3,B15-B19_B942,SI,0.30 ,0.50 ,0.50 ,0.60 ,0.10 ,0.90 ,0.50 ,0.60 ,0.60 ,0.20 ,0.40 ,0.26 ,0.22 ,0.21 ,0.33 ,0.09 ,0.11 ,0.09 ,0.23 p,0.09 p,0.32 
ind3,B15-B19_B942,SK,0.40 ,0.30 ,0.30 ,0.50 ,0.40 ,0.30 ,0.40 ,0.40 ,0.20 ,0.20 ,0.50 ,0.10 ,0.43 ,0.36 ,0.44 ,0.50 ,0.49 ,0.30 ,0.18 p,0.08 p,0.14 
ind3,B15-B19_B942,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.56 d,2.28 d,2.73 d,2.18 d,1.87 d,1.58 d,1.32 d,1.00 dp,0.74 dp,: 
ind3,B15-B19_B942,UK,0.40 ,0.40 ,0.40 ,0.40 ,0.40 ,0.40 ,0.40 ,0.40 ,0.40 ,0.50 ,0.40 ,0.47 d,0.42 ,0.45 ,0.45 ,0.55 ,0.40 ,0.33 ,0.27 p,: ,: 
ind3,B20-B24,AL,: ,: ,: ,: ,0.20 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind3,B20-B24,AT,0.60 ,0.60 ,0.60 ,0.60 ,0.60 ,0.80 ,0.50 ,0.70 ,0.50 ,0.40 ,0.50 ,0.47 ,0.44 ,0.58 ,0.47 ,0.46 ,0.40 ,0.28 ,0.34 p,0.42 p,0.41 
ind3,B20-B24,BE,: ,: ,: ,0.50 ,0.70 ,0.60 ,0.50 ,0.50 ,0.50 ,0.40 ,0.50 ,0.41 ,0.36 ,0.50 ,0.32 ,0.28 ,0.33 ,0.29 ,0.22 p,0.27 p,0.21 
ind3,B20-B24,BG,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.10 ,0.14 ,0.15 ,0.11 ,0.23 ,0.23 ,0.30 ,0.28 ,0.16 p,0.17 p,0.27 
ind3,B20-B24,CH,1.70 ,1.60 ,1.30 ,1.20 ,1.00 ,1.00 ,1.00 ,0.80 ,0.60 ,0.60 ,0.50 ,0.53 ,0.56 ,0.44 ,0.52 ,0.42 ,0.26 ,0.26 ,0.23 p,0.21 p,0.24 
ind3,B20-B24,CY,: ,: ,: ,: ,0.20 ,0.40 ,0.40 ,0.60 ,: ,: ,0.20 ,0.25 ,0.24 ,0.20 ,0.53 ,0.57 ,: ,0.00 ,0.00 p,0.00 p,0.26 
ind3,B20-B24,CZ,0.00 ,0.00 ,: ,: ,: ,0.00 ,0.00 ,0.00 ,0.10 ,0.10 ,0.10 ,0.07 ,0.06 ,0.06 ,0.16 ,0.09 ,0.16 ,0.12 ,0.10 p,0.06 p,0.14 
ind3,B20-B24,DE,0.70 ,0.60 ,0.60 ,0.60 ,0.60 ,0.60 ,0.60 ,0.50 ,0.50 ,0.50 ,0.50 ,0.55 ,0.48 ,0.48 ,0.45 ,0.43 ,0.40 ,0.36 ,0.33 p,0.32 p,0.31 
ind3,B20-B24,DK,0.50 ,0.60 ,0.70 ,0.80 ,0.80 ,0.70 ,0.50 ,0.60 ,0.40 ,0.50 ,: ,0.34 ,0.48 ,0.54 ,0.30 ,0.24 ,0.40 ,0.42 ,0.30 p,0.20 p,0.22 
ind3,B20-B24,EE,0.20 ,0.20 ,0.20 ,0.50 ,1.40 ,2.20 ,3.30 ,2.80 ,2.90 ,3.50 ,3.00 ,4.34 ,3.90 ,3.84 ,3.43 ,3.24 ,3.23 ,3.04 ,3.62 p,2.93 p,2.39 
ind3,B20-B24,EL,0.30 ,0.20 ,0.30 ,0.20 ,0.10 ,0.20 ,0.20 ,0.20 ,0.10 ,0.10 ,0.20 ,0.15 ,0.33 ,0.35 ,0.39 ,0.35 ,0.46 ,0.46 ,0.39 p,0.28 p,0.37 
ind3,B20-B24,ES,3.90 ,3.70 ,3.60 ,3.60 ,3.40 ,3.10 ,2.80 ,2.70 ,2.50 ,2.20 ,2.10 ,1.91 ,1.77 ,1.51 ,1.40 ,1.27 ,1.00 ,0.88 ,0.83 p,0.81 p,0.71 
ind3,B20-B24,EU27_2020,: ,: ,1.30 e,1.40 e,1.30 e,1.30 e,1.10 e,1.10 e,1.00 e,0.90 e,0.90 e,0.87 ,0.85 ,0.80 ,0.74 ,0.70 ,0.59 ,0.53 ,0.51 p,0.46 p,0.43 
ind3,B20-B24,EU28,: ,: ,1.20 e,1.30 e,1.20 e,1.20 e,1.00 e,1.00 e,1.00 e,0.90 e,0.90 e,0.80 d,0.79 d,0.74 d,0.68 ,0.65 ,0.55 ,0.49 ,0.48 p,: ,: 
ind3,B20-B24,FI,0.20 ,0.10 ,0.10 ,0.10 ,0.20 ,0.20 ,0.20 ,0.20 ,0.10 ,0.10 ,0.10 ,0.10 ,0.13 ,0.08 ,0.06 ,: ,0.16 ,0.09 ,0.05 p,0.06 p,0.03 
ind3,B20-B24,FR,: ,1.90 ,1.80 ,1.70 ,1.70 ,1.50 ,1.40 ,1.30 ,1.10 ,0.90 ,0.80 ,0.67 ,0.72 ,0.79 ,0.64 ,0.61 ,0.53 ,0.37 ,0.41 p,0.38 p,0.31 
ind3,B20-B24,HR,: ,: ,0.20 ,0.00 ,0.10 ,0.10 ,0.20 ,0.00 ,0.10 ,0.20 ,0.20 ,0.14 ,0.19 d,0.19 d,0.09 ,0.23 ,0.14 ,0.18 ,0.14 p,0.24 p,0.21 
ind3,B20-B24,HU,0.10 ,0.10 ,0.10 ,0.10 ,0.10 ,0.10 ,0.00 ,0.10 ,0.00 ,0.10 ,0.10 ,0.12 d,0.08 d,0.06 d,0.14 ,0.12 ,0.08 ,0.07 ,0.09 p,0.13 p,0.06 
ind3,B20-B24,IE,0.10 ,0.20 ,0.30 ,0.40 ,0.30 ,0.20 ,0.20 ,0.30 ,0.30 ,0.30 ,0.30 ,0.25 ,0.27 ,0.22 ,0.16 ,0.18 ,0.18 ,0.20 ,0.14 p,0.13 p,0.15 
ind3,B20-B24,IS,0.30 ,0.80 ,: ,: ,0.30 ,: ,1.00 ,: ,: ,0.30 ,: ,0.38 ,: ,0.41 ,0.53 ,: ,: ,0.00 ,0.00 p,0.30 p,0.30 
ind3,B20-B24,IT,1.60 ,1.60 ,1.50 ,2.10 ,: ,: ,1.50 ,1.60 ,1.50 ,1.40 ,1.30 ,1.27 ,1.33 ,1.14 ,1.06 ,1.04 ,0.65 ,0.66 ,0.66 p,0.55 p,0.56 
ind3,B20-B24,LI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.20 ,7.13 ,: ,: ,: ,: ,: ,0.00 ,0.00 p,0.00 p,0.00 
ind3,B20-B24,LT,0.20 ,0.10 ,0.20 ,0.20 ,0.20 ,0.10 ,0.20 ,0.30 ,0.40 ,0.40 ,0.60 ,0.58 ,0.86 ,0.91 ,0.72 ,0.54 ,1.16 ,1.12 ,0.83 p,0.73 p,0.97 
ind3,B20-B24,LU,0.40 ,0.20 ,0.80 ,0.70 ,0.60 ,0.20 ,1.10 ,0.80 ,0.90 ,0.20 ,0.20 ,0.56 ,1.50 ,1.23 ,0.86 ,0.68 ,0.30 ,0.21 ,0.16 p,0.00 p,0.49 
ind3,B20-B24,LV,0.10 ,0.30 ,0.20 ,0.50 ,0.70 ,1.10 ,1.20 ,1.80 ,2.60 ,3.00 ,2.70 ,3.44 ,4.25 ,5.45 ,5.11 ,4.29 ,3.58 ,4.15 ,3.98 p,3.73 p,2.74 
ind3,B20-B24,MK,: ,0.10 ,: ,: ,: ,: ,0.10 ,0.00 ,0.10 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
