indicator,unit,geo\time,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind2,I10,HU,66.84 ,53.10 ,54.75 ,82.98 ,83.65 ,89.57 ,95.78 ,125.52 ,85.01 ,100.00 ,149.32 ,137.88 ,151.60 ,161.07 ,151.91 ,162.48 ,164.95 ,169.29 ,180.58 ,193.89 ,202.73 ,193.64 e
ind2,I10,IE,130.39 ,113.18 ,107.11 ,115.18 ,139.77 ,114.35 ,127.36 ,114.88 ,88.38 ,100.00 ,127.50 ,114.64 ,118.83 ,122.51 ,118.40 ,122.13 ,155.01 ,131.41 ,133.46 ,150.90 ,173.85 ,197.95 e
ind2,I10,IS,: ,: ,: ,: ,: ,: ,: ,: ,143.55 ,100.00 ,109.43 ,120.69 ,97.77 ,155.45 ,174.67 ,161.91 ,156.58 ,127.61 ,120.56 ,146.90 ,140.20 ,140.17 e
ind2,I10,IT,133.89 ,131.13 ,130.13 ,132.96 ,115.47 ,110.59 ,109.00 ,112.46 ,110.27 ,100.00 ,117.12 ,124.91 ,149.02 ,136.19 ,132.17 ,128.91 ,131.85 ,139.13 ,136.83 ,139.08 ,150.38 ,171.04 e
ind2,I10,LT,45.03 ,41.67 ,46.80 ,73.71 ,79.44 ,70.56 ,105.76 ,97.84 ,83.84 ,100.00 ,125.89 ,156.77 ,138.44 ,125.76 ,135.36 ,112.72 ,140.40 ,105.18 ,137.40 ,189.88 ,189.06 ,184.40 e
ind2,I10,LU,157.92 ,231.33 ,144.71 ,183.44 ,145.04 ,141.46 ,167.97 ,139.10 ,85.96 ,100.00 ,101.09 ,105.87 ,90.67 ,118.75 ,96.96 ,90.49 ,114.08 ,122.61 ,120.34 ,112.50 ,114.12 ,147.88 e
ind2,I10,LV,38.70 ,37.58 ,40.64 ,67.67 ,69.84 ,89.97 ,94.21 ,80.12 ,78.19 ,100.00 ,95.68 ,115.07 ,103.71 ,115.31 ,130.67 ,119.11 ,147.17 ,130.78 ,174.45 ,191.31 ,206.85 ,223.51 e
ind2,I10,MT,113.12 ,112.00 ,106.47 ,103.32 ,107.24 ,105.54 ,103.33 ,95.96 ,107.78 ,100.00 ,87.85 ,83.01 ,80.16 ,78.89 ,93.59 ,68.58 ,62.78 ,83.32 ,82.26 ,71.27 ,64.98 ,57.62 e
ind2,I10,NL,98.91 ,87.71 ,92.85 ,85.26 ,86.96 ,104.67 ,102.25 ,90.99 ,78.04 ,100.00 ,85.56 ,92.30 ,103.64 ,99.53 ,101.64 ,102.40 ,112.57 ,93.49 ,93.90 ,88.22 ,89.01 ,87.46 e
ind2,I10,NO,85.91 ,91.79 ,92.06 ,89.91 ,81.59 ,77.31 ,86.97 ,89.83 ,94.61 ,100.00 ,97.95 ,101.67 ,100.00 ,107.44 ,121.85 ,126.21 ,116.68 ,108.48 ,113.45 ,125.33 ,105.93 ,121.63 e
ind2,I10,PL,47.10 ,37.91 ,39.06 ,71.93 ,66.26 ,72.92 ,88.98 ,78.72 ,85.58 ,100.00 ,131.56 ,122.68 ,134.15 ,110.46 ,111.93 ,124.37 ,155.69 ,146.89 ,154.60 ,183.82 ,167.94 ,185.51 e
ind2,I10,PT,100.42 ,92.57 ,92.15 ,106.23 ,95.30 ,95.00 ,90.52 ,100.10 ,85.73 ,100.00 ,86.03 ,92.44 ,105.94 ,107.16 ,116.36 ,125.70 ,131.00 ,131.03 ,142.09 ,142.85 ,158.60 ,139.91 e
ind2,I10,RO,93.61 ,87.52 ,99.54 ,143.93 ,82.26 ,81.63 ,61.90 ,91.61 ,77.88 ,100.00 ,129.03 ,96.07 ,113.53 ,123.89 ,116.18 ,119.93 ,135.99 ,138.34 ,139.88 ,140.94 ,132.71 ,106.06 e
ind2,I10,SE,73.83 ,84.42 ,82.36 ,75.30 ,81.48 ,92.60 ,112.28 ,99.22 ,77.27 ,100.00 ,102.88 ,102.18 ,92.50 ,101.48 ,107.14 ,97.46 ,113.98 ,92.91 ,104.79 ,101.47 ,118.61 ,118.77 e
ind2,I10,SI,56.41 ,77.37 ,58.50 ,91.48 ,93.32 ,91.17 ,101.17 ,88.39 ,86.06 ,100.00 ,114.01 ,90.72 ,91.14 ,103.21 ,114.10 ,104.45 ,97.59 ,135.58 ,122.52 ,135.29 ,96.89 ,112.85 e
ind2,I10,SK,55.69 ,52.64 ,49.21 ,63.80 ,59.36 ,72.49 ,76.52 ,85.20 ,65.61 ,100.00 ,118.62 ,133.62 ,130.26 ,143.34 ,142.86 ,173.45 ,205.70 ,201.57 ,189.15 ,207.13 ,240.81 b,203.66 e
ind2,I10,UK,64.72 ,70.96 ,81.12 ,78.21 ,77.71 ,76.97 ,79.24 ,100.00 ,102.57 ,100.00 ,116.45 ,110.36 ,119.00 ,117.13 ,99.91 ,98.16 ,118.56 ,106.21 ,110.71 ,117.24 e,: ,: 
