PM2_5,YLL,RT,MK,2665 ,: ,: ,2423 ,: ,: ,: ,: ,2066 ,2157 ,2513 ,2700 ,2343 ,1632 ,: 
PM2_5,YLL,RT,MT,926 ,794 ,659 ,719 ,571 ,689 ,492 ,477 ,453 ,511 ,413 ,438 ,499 ,465 ,338 
PM2_5,YLL,RT,NL,826 ,718 ,789 ,798 ,833 ,822 ,584 ,616 ,585 ,496 ,428 ,422 ,468 ,381 ,286 
PM2_5,YLL,RT,NO,464 ,: ,: ,363 ,: ,: ,: ,: ,315 ,254 ,255 ,223 ,272 ,232 ,: 
PM2_5,YLL,RT,PL,1412 ,1232 ,1380 ,1426 ,1801 ,1744 ,1635 ,1558 ,1568 ,1491 ,1441 ,1495 ,1537 ,1192 ,1095 
PM2_5,YLL,RT,PT,1014 ,712 ,478 ,585 ,451 ,565 ,399 ,402 ,290 ,419 ,312 ,327 ,280 ,271 ,264 
PM2_5,YLL,RT,RO,2243 ,1889 ,1858 ,1628 ,1303 ,1701 ,1609 ,1341 ,1282 ,1359 ,1271 ,1369 ,1369 ,1120 ,1211 
PM2_5,YLL,RT,RS,2210 ,: ,: ,2089 ,: ,: ,: ,: ,1723 ,1881 ,1959 ,2242 ,2100 ,1689 ,: 
PM2_5,YLL,RT,SE,373 ,328 ,270 ,177 ,218 ,275 ,158 ,79 ,168 ,78 ,72 ,39 ,85 ,51 ,32 
PM2_5,YLL,RT,SI,1192 ,960 ,974 ,1027 ,1040 ,1163 ,956 ,938 ,754 ,939 ,822 ,851 ,826 ,623 ,567 
PM2_5,YLL,RT,SK,1456 ,1199 ,1260 ,1212 ,1307 ,1546 ,1236 ,1188 ,1122 ,1141 ,1021 ,1118 ,1103 ,809 ,845 
PM2_5,YLL,RT,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,566 ,: ,722 ,680 ,: 
PM2_5,YLL,RT,XK,2192 ,: ,: ,2165 ,: ,: ,: ,: ,2084 ,2107 ,2612 ,2275 ,2243 ,1640 ,: 
