hhtyp,incgrp,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
TOTAL,B_MD60,PC,FI,: ,19.9 ,16.7 ,17.3 ,16.4 ,16.6 ,19.6 ,13.3 ,11.5 ,12.8 ,11.7 ,9.1 ,10.0 ,9.1 ,8.2 ,8.3 ,8.6 ,12.9 
TOTAL,B_MD60,PC,FR,: ,25.5 ,21.7 ,21.0 ,21.6 ,20.7 ,20.2 ,25.4 ,24.4 ,18.8 ,23.2 ,18.9 ,19.0 ,20.9 ,18.6 ,18.7 ,21.8 ,27.0 b
TOTAL,B_MD60,PC,HR,: ,: ,: ,: ,: ,: ,: ,3.9 ,3.5 ,4.4 ,3.0 ,1.5 ,2.3 ,2.5 ,2.4 ,2.4 ,1.9 ,2.2 
TOTAL,B_MD60,PC,HU,: ,: ,13.0 ,12.7 ,18.4 ,16.7 ,18.9 ,16.7 ,17.1 ,17.3 ,20.3 ,23.9 ,20.1 ,16.0 ,12.5 ,11.8 ,9.9 ,8.5 
TOTAL,B_MD60,PC,IE,14.5 ,19.1 ,18.2 ,18.5 ,20.8 ,12.8 ,16.6 ,14.2 ,12.5 ,12.8 ,13.9 ,11.9 ,15.0 ,12.6 ,11.8 ,13.6 ,13.3 ,13.8 b
TOTAL,B_MD60,PC,IS,: ,5.2 ,2.9 ,2.8 ,3.6 ,4.6 ,5.8 ,3.7 ,2.5 ,6.8 ,2.0 ,3.6 ,5.6 ,3.8 ,2.9 ,6.4 ,: ,: 
TOTAL,B_MD60,PC,IT,: ,18.2 ,16.4 ,16.9 ,17.8 ,17.7 ,19.5 ,16.3 ,13.5 ,16.4 ,16.2 ,18.8 ,18.6 ,14.0 ,12.9 ,11.5 ,8.5 ,9.3 
TOTAL,B_MD60,PC,LT,: ,: ,6.6 ,6.7 ,4.0 ,4.2 ,6.4 ,5.2 ,5.5 ,4.9 ,6.9 ,4.2 ,3.9 ,3.7 ,9.2 ,4.5 ,2.7 ,4.0 
TOTAL,B_MD60,PC,LU,17.8 ,16.4 ,17.1 ,15.7 ,9.7 ,10.7 ,11.6 ,13.6 ,16.0 ,15.7 ,13.0 ,19.9 ,14.3 ,16.9 b,12.6 ,14.2 ,11.6 ,12.7 b
TOTAL,B_MD60,PC,LV,: ,: ,18.4 ,24.7 ,24.4 ,27.0 ,26.2 b,22.2 ,17.0 ,15.5 ,10.8 ,12.3 ,9.8 ,8.3 ,8.2 ,7.4 ,5.2 ,6.4 
TOTAL,B_MD60,PC,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,5.5 ,8.6 ,7.2 ,5.2 ,7.3 ,8.1 ,10.6 ,7.9 
TOTAL,B_MD60,PC,MK,: ,: ,: ,: ,: ,: ,: ,8.1 ,7.5 ,3.3 ,5.0 ,5.0 ,4.5 ,5.4 ,2.4 ,3.6 ,6.4 ,3.7 
TOTAL,B_MD60,PC,MT,: ,: ,10.8 ,13.1 ,10.7 ,7.7 ,12.1 ,10.6 ,13.1 ,10.5 ,12.1 ,13.2 ,12.0 ,11.0 ,12.5 ,13.7 ,12.9 ,12.5 
