indicator,deg_urb,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind10,DEG3,PC,NL,12.5 ,12.3 b,12.8 ,12.2 ,10.5 ,11.8 ,13.2 ,12.3 
ind10,DEG3,PC,NO,14.8 ,13.0 ,14.1 ,14.8 ,16.4 ,15.6 ,: ,: 
ind10,DEG3,PC,PL,29.3 ,26.6 ,23.3 ,24.6 ,24.0 ,24.2 ,23.2 p,: 
ind10,DEG3,PC,PT,29.6 ,29.0 ,27.4 ,26.3 ,25.1 ,25.2 ,29.9 ,: 
ind10,DEG3,PC,RO,57.8 ,59.1 ,55.8 ,52.0 ,49.2 ,50.4 ,50.3 ,: 
ind10,DEG3,PC,RS,52.7 ,39.2 ,47.7 ,44.1 ,41.3 ,39.5 ,37.3 ,: 
ind10,DEG3,PC,SE,17.9 ,17.5 ,20.3 ,20.1 ,20.3 ,19.4 ,16.9 ,: 
ind10,DEG3,PC,SI,17.8 ,17.5 ,17.4 ,15.7 ,13.6 ,14.1 ,13.0 ,: 
ind10,DEG3,PC,SK,20.0 ,21.5 ,18.4 ,17.9 ,17.2 ,16.0 ,: ,: 
ind10,DEG3,PC,UK,20.2 ,17.1 ,16.5 b,21.5 ,: ,: ,: ,: 
