indic_em,age,unit,sex,geo\time,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
LTU,Y15-74,PC_ACT,M,SI,1.9 ,3.8 ,4.2 ,4.7 ,5.6 ,5.7 ,4.7 ,4.7 ,3.5 ,2.3 ,2.0 ,1.8 ,1.8 
LTU,Y15-74,PC_ACT,M,SK,6.4 ,9.9 ,10.4 b,10.3 ,11.1 ,10.3 ,7.6 ,6.0 ,5.7 ,4.4 ,3.7 ,3.5 ,3.8 
LTU,Y15-74,PC_ACT,M,TR,2.5 ,2.3 ,1.6 ,1.4 ,1.4 ,1.5 b,1.6 ,1.7 ,1.6 ,1.7 ,2.3 ,2.5 ,: 
LTU,Y15-74,PC_ACT,T,AT,1.4 ,1.5 ,1.5 ,1.5 ,1.6 ,1.9 ,2.0 ,2.4 ,2.3 ,1.7 ,1.4 ,1.7 ,2.0 
LTU,Y15-74,PC_ACT,T,BE,3.2 ,3.7 ,3.1 ,3.1 ,3.5 ,3.9 ,4.0 ,3.7 ,3.1 b,2.6 ,2.1 ,2.1 ,2.6 
LTU,Y15-74,PC_ACT,T,BG,3.4 ,5.2 b,6.8 b,7.2 ,7.9 ,7.4 ,6.1 ,5.0 ,3.9 ,3.6 ,2.9 ,2.7 ,2.6 
LTU,Y15-74,PC_ACT,T,CH,: ,1.6 b,1.6 ,1.5 ,1.5 ,1.7 ,1.8 ,1.8 ,1.7 ,1.7 ,1.5 ,1.5 ,1.9 
LTU,Y15-74,PC_ACT,T,CY,0.6 ,1.3 ,1.6 ,3.6 ,6.1 ,7.7 ,6.8 ,5.8 ,4.5 ,2.7 ,2.1 ,2.1 ,2.6 
LTU,Y15-74,PC_ACT,T,CZ,2.0 ,3.0 ,2.7 b,3.0 ,3.0 ,2.7 ,2.4 ,1.7 ,1.0 ,0.7 ,0.6 ,0.6 ,0.8 
LTU,Y15-74,PC_ACT,T,DE,3.4 ,3.2 b,2.7 b,2.4 ,2.3 ,2.2 ,2.0 ,1.7 ,1.5 ,1.4 ,1.2 ,1.1 b,1.2 
LTU,Y15-74,PC_ACT,T,DK,0.6 ,1.4 ,1.8 ,2.1 ,1.8 ,1.7 ,1.6 ,1.2 b,1.2 b,1.0 ,0.8 ,0.9 ,1.0 
LTU,Y15-74,PC_ACT,T,EA19,3.2 ,4.1 ,4.4 ,5.1 ,5.7 ,5.9 ,5.3 ,4.8 ,4.2 ,3.6 ,3.1 ,2.8 ,3.2 
LTU,Y15-74,PC_ACT,T,EA20,3.2 ,4.2 ,4.5 ,5.1 ,5.8 ,5.9 ,5.4 ,4.8 ,4.2 ,3.6 ,3.1 ,2.8 ,3.2 
LTU,Y15-74,PC_ACT,T,EE,3.7 ,7.5 ,7.0 ,5.4 ,3.8 ,3.3 ,2.4 ,2.2 ,2.0 ,1.3 ,0.9 ,1.2 ,1.6 
LTU,Y15-74,PC_ACT,T,EL,3.6 ,5.2 ,8.0 ,13.1 ,16.7 ,17.5 ,16.4 ,15.4 ,14.3 ,12.5 ,11.3 ,10.5 ,9.2 
LTU,Y15-74,PC_ACT,T,ES,4.3 ,7.3 ,8.9 ,11.0 ,13.0 ,12.9 ,11.4 ,9.5 ,7.7 ,6.4 ,5.3 ,5.0 ,6.2 d
LTU,Y15-74,PC_ACT,T,EU27_2020,3.1 ,4.0 ,4.3 ,4.9 ,5.4 ,5.4 ,4.9 ,4.3 ,3.7 ,3.1 ,2.7 ,2.5 ,2.8 
