age,sex,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
Y_LT18,T,THS_PER,DK,39 ,29 ,60 ,56 ,57 ,53 ,37 ,: 
Y_LT18,T,THS_PER,EA19,6100 ,5767 ,4705 ,4362 ,4135 ,4640 ,4148 ,: 
Y_LT18,T,THS_PER,EE,7 ,4 ,8 ,6 ,5 ,5 ,4 ,: 
Y_LT18,T,THS_PER,EL,445 ,450 ,441 ,362 ,333 ,345 ,291 ,: 
Y_LT18,T,THS_PER,ES,875 ,965 ,887 ,837 ,857 ,866 ,887 ,: 
Y_LT18,T,THS_PER,EU,: ,: ,: ,: ,5966 ,: ,: ,: 
Y_LT18,T,THS_PER,EU27_2020,9480 ,8912 ,7431 ,6502 ,5966 ,6656 ,5987 ,: 
Y_LT18,T,THS_PER,EU28,: ,: ,: ,: ,5966 ,: ,: ,: 
Y_LT18,T,THS_PER,FI,10 ,7 ,17 ,22 ,18 ,16 ,7 ,: 
Y_LT18,T,THS_PER,FR,1128 ,1222 ,1155 ,1133 ,1193 ,1230 b,883 ,: 
Y_LT18,T,THS_PER,HR,61 ,49 ,45 ,40 ,23 ,18 ,18 ,: 
Y_LT18,T,THS_PER,HU,530 ,494 ,378 ,308 ,261 ,275 ,259 ,: 
Y_LT18,T,THS_PER,IE,139 ,125 ,101 ,100 ,111 ,80 ,85 ,: 
Y_LT18,T,THS_PER,IS,1 ,1 ,0 ,1 ,: ,: ,: ,: 
Y_LT18,T,THS_PER,IT,1648 ,1284 ,739 ,710 ,571 ,691 ,681 ,: 
Y_LT18,T,THS_PER,LT,93 ,85 ,75 ,57 ,38 ,42 ,33 ,: 
Y_LT18,T,THS_PER,LU,4 ,3 ,3 ,2 ,2 ,4 ,4 b,: 
Y_LT18,T,THS_PER,LV,55 ,47 ,41 ,37 ,24 ,25 ,17 ,: 
Y_LT18,T,THS_PER,MK,134 ,136 ,123 ,116 ,100 ,81 ,: ,: 
Y_LT18,T,THS_PER,MT,9 ,6 ,6 ,6 ,5 ,5 ,6 ,: 
Y_LT18,T,THS_PER,NL,105 ,76 ,82 ,73 ,76 ,61 ,51 ,73 
Y_LT18,T,THS_PER,NO,27 ,: ,29 ,19 ,22 ,35 ,: ,: 
Y_LT18,T,THS_PER,PL,593 ,336 ,301 ,231 ,171 ,162 ,166 p,: 
Y_LT18,T,THS_PER,PT,257 ,212 ,152 ,124 ,101 ,92 ,83 ,: 
Y_LT18,T,THS_PER,RO,1511 ,1658 ,1401 ,1160 ,938 ,1083 ,1025 ,: 
Y_LT18,T,THS_PER,RS,295 ,: ,249 ,210 ,180 ,146 ,136 ,: 
Y_LT18,T,THS_PER,SE,23 ,12 ,24 ,37 ,51 ,69 ,35 ,: 
Y_LT18,T,THS_PER,SI,17 ,14 ,13 ,8 ,5 ,8 ,4 ,: 
Y_LT18,T,THS_PER,SK,118 ,102 ,90 ,80 ,73 ,49 ,76 ,: 
Y_LT18,T,THS_PER,TR,: ,: ,4685 ,4778 ,4856 ,5286 ,: ,: 
Y_LT18,T,THS_PER,UK,1304 ,1314 ,1025 ,1072 ,: ,: ,: ,: 
