sex,incgrp,age,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
T,B_MD60,TOTAL,PC,NO,: ,37.8 ,11.1 ,47.4 ,49.8 ,47.7 ,41.9 ,42.7 ,49.3 ,44.0 ,42.5 ,41.5 ,43.2 ,43.6 ,41.9 ,49.5 ,45.9 ,44.8 ,: ,: 
T,B_MD60,TOTAL,PC,PL,: ,: ,46.5 ,35.2 ,33.1 ,32.1 ,28.3 ,30.5 ,35.7 ,36.1 ,33.5 ,32.0 ,30.7 ,29.6 ,30.4 ,28.1 ,26.3 ,23.5 b,27.9 p,: 
T,B_MD60,TOTAL,PC,PT,: ,16.7 ,16.6 ,12.9 ,22.0 ,21.4 ,21.5 ,15.9 ,26.4 ,28.8 ,30.9 ,33.7 ,33.5 ,29.1 ,26.0 ,22.3 ,22.8 ,17.3 ,24.0 ,: 
T,B_MD60,TOTAL,PC,RO,: ,: ,: ,: ,44.6 ,42.0 ,37.3 ,40.0 ,23.2 ,45.0 ,41.5 ,40.1 ,42.6 ,38.8 ,36.3 ,33.3 ,29.7 ,24.0 ,26.1 ,: 
T,B_MD60,TOTAL,PC,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,68.6 ,78.2 ,80.8 ,75.1 ,82.7 ,80.9 ,63.3 ,57.5 ,51.9 ,: 
T,B_MD60,TOTAL,PC,SE,: ,50.8 ,57.5 ,53.1 ,47.9 ,51.5 b,50.7 ,41.9 ,45.8 ,42.1 ,41.0 ,42.3 ,39.9 ,38.7 ,38.8 ,37.0 ,41.2 ,38.1 ,40.6 ,: 
T,B_MD60,TOTAL,PC,SI,: ,: ,14.7 ,16.3 ,22.2 ,21.1 ,21.7 ,20.6 ,22.5 ,26.0 ,26.3 ,29.4 ,27.7 ,28.3 ,26.7 ,24.0 ,21.9 ,23.1 ,20.9 ,: 
T,B_MD60,TOTAL,PC,SK,: ,: ,55.5 ,57.7 ,50.9 ,26.3 ,40.5 ,35.2 ,38.4 ,36.3 ,36.2 ,36.4 ,34.5 ,35.6 ,38.9 ,24.4 ,26.8 ,22.5 ,: ,: 
T,B_MD60,TOTAL,PC,TR,: ,: ,: ,26.4 ,16.9 ,16.5 ,19.2 ,19.0 ,19.4 ,16.9 ,20.4 ,19.8 ,20.5 ,20.4 ,19.3 ,19.7 ,23.3 ,23.9 ,: ,: 
T,B_MD60,TOTAL,PC,UK,: ,: ,46.4 ,47.4 ,45.5 ,46.7 ,53.5 ,54.9 ,52.8 ,26.0 b,27.0 ,41.7 b,40.0 ,42.4 ,40.8 b,50.3 ,: ,: ,: ,: 
T,B_MD60,TOTAL,PC,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,39.9 ,: ,: ,: ,: 
T,TOTAL,TOTAL,PC,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9.2 ,6.0 ,5.5 ,3.8 ,: ,: 
