unit,icd10,age,sex,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
RT,X85-Y09_Y871,TOTAL,M,NL,1.4 ,1.6 ,1.6 ,1.6 ,1.7 ,1.5 ,1.0 ,1.2 ,1.3 ,1.3 ,1.1 ,1.08 ,1.13 ,0.89 ,1.21 ,0.8 ,0.81 ,1.06 ,0.76 p,0.79 p,0.72 
RT,X85-Y09_Y871,TOTAL,M,NO,1.4 ,0.8 ,1.2 ,1.0 ,1.1 ,0.7 ,0.9 ,0.7 ,0.8 ,0.7 ,0.7 ,2.26 ,0.84 ,1.12 ,0.85 ,0.38 ,0.76 ,0.61 ,0.5 p,0.41 p,0.61 
RT,X85-Y09_Y871,TOTAL,M,PL,3.5 ,2.8 ,2.8 ,2.3 ,2.5 ,2.3 ,2.3 ,2.3 ,2.0 ,1.6 ,1.3 ,1.58 ,1.52 ,1.65 ,1.34 ,1.14 ,1.13 ,1.03 ,0.85 p,1.02 p,0.86 
RT,X85-Y09_Y871,TOTAL,M,PT,1.3 ,1.9 ,2.4 ,2.7 ,2.6 ,2.3 ,2.5 ,1.5 ,2.0 ,1.4 ,1.7 ,1.28 ,1.58 ,1.23 ,1.06 ,1.47 ,1.21 ,1 ,1.09 p,1.01 p,1.04 
RT,X85-Y09_Y871,TOTAL,M,RO,5.9 ,5.9 ,5.7 ,6.0 ,5.3 ,3.9 ,3.5 ,3.1 ,3.6 ,3.5 ,3.6 ,3.02 ,3.22 ,2.58 ,2.58 ,2.2 ,2.26 ,2.09 ,2.07 p,1.97 p,2 
RT,X85-Y09_Y871,TOTAL,M,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.56 ,2.26 ,2.74 ,2.7 ,1.8 ,2.35 ,1.64 ,2.01 p,1.63 p,1.89 
RT,X85-Y09_Y871,TOTAL,M,SE,1.3 ,1.3 ,1.5 ,1.3 ,1.4 ,1.2 ,1.1 ,1.7 ,1.0 ,1.1 ,1.3 ,1.07 ,0.83 ,1.14 ,1.08 ,1.42 ,1.33 ,1.61 ,1.48 p,1.57 p,1.99 
RT,X85-Y09_Y871,TOTAL,M,SI,1.4 ,1.2 ,1.8 ,1.1 ,2.3 ,1.3 ,0.9 ,1.2 ,0.8 ,0.5 ,0.6 ,0.77 ,0.94 ,1.13 ,1 ,0.68 ,0.88 ,1.36 ,0.65 p,0.45 p,0.45 
RT,X85-Y09_Y871,TOTAL,M,SK,3.6 ,3.3 ,3.6 ,2.6 ,2.6 ,2.5 ,2.3 ,1.7 ,1.8 ,1.5 ,1.5 ,1.61 ,1.39 ,1.53 ,1.16 ,1.03 ,0.84 ,0.55 ,0.74 p,0.93 p,0.92 
RT,X85-Y09_Y871,TOTAL,M,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.97 d,1.97 d,2.83 d,2.45 d,2.09 d,2.73 d,2.74 d,2.23 dp,1.52 dp,: 
