unit,partner,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
PC,ECB,PL,: ,: ,: ,: ,36 ,31 ,40 ,45 ,40 ,38 ,43 ,41 ,50 ,41 ,39 ,34 ,38 ,36 ,43 ,45 ,45 ,42 ,48 
PC,ECB,PT,51 ,54 ,54 ,54 ,59 ,63 ,59 ,48 ,52 ,51 ,46 ,39 ,37 ,28 ,37 ,38 ,44 ,41 ,52 ,57 ,53 ,77 ,68 
PC,ECB,RO,: ,: ,: ,: ,39 ,44 ,49 ,46 ,45 ,47 ,45 ,44 ,42 ,41 ,53 ,51 ,43 ,44 ,51 ,51 ,55 ,46 ,44 
PC,ECB,SE,43 ,52 ,52 ,48 ,53 ,50 ,59 ,56 ,62 ,56 ,60 ,56 ,53 ,56 ,54 ,55 ,57 ,61 ,65 ,63 ,69 ,70 ,61 
PC,ECB,SI,: ,: ,: ,: ,56 ,47 ,63 ,63 ,62 ,49 ,49 ,37 ,43 ,35 ,36 ,28 ,31 ,32 ,36 ,40 ,44 ,49 ,42 
PC,ECB,SK,: ,: ,: ,: ,52 ,50 ,54 ,55 ,65 ,58 ,68 ,57 ,52 ,55 ,50 ,42 ,43 ,46 ,45 ,47 ,50 ,52 ,41 
PC,ECB,TR,: ,: ,: ,: ,31 ,23 ,31 ,18 ,20 ,22 ,14 ,11 ,21 ,21 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
PC,ECB,UK,21 ,29 ,25 ,25 ,41 ,26 ,27 ,26 ,28 ,21 ,22 ,18 ,24 ,19 ,24 ,23 ,28 ,29 ,30 ,25 ,: ,: ,: 
PC,PARL,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,78 ,: ,: ,: ,: 
PC,PARL,AT,46 ,55 ,58 ,50 ,56 ,49 ,50 ,51 ,47 ,54 ,47 ,42 ,48 ,47 ,52 ,35 ,42 ,48 ,55 ,58 ,51 ,46 ,48 
PC,PARL,BE,64 ,68 ,69 ,58 ,70 ,62 ,67 ,68 ,65 ,62 ,65 ,58 ,58 ,59 ,50 ,52 ,59 ,60 ,64 ,66 ,55 ,61 ,51 
PC,PARL,BG,: ,: ,: ,: ,57 ,55 ,55 ,58 ,57 ,65 ,60 ,59 ,61 ,55 ,52 ,45 ,49 ,54 ,51 ,51 ,44 ,45 ,44 
PC,PARL,CY,: ,: ,: ,: ,64 ,60 ,57 ,59 ,55 ,57 ,51 ,45 ,39 ,28 ,32 ,29 ,34 ,44 ,46 ,64 ,45 ,41 ,51 
PC,PARL,CZ,: ,: ,: ,: ,60 ,56 ,62 ,61 ,58 ,60 ,57 ,45 ,46 ,45 ,41 ,31 ,31 ,38 ,38 ,45 ,39 ,50 ,48 
PC,PARL,DE,47 ,55 ,58 ,50 ,55 ,53 ,52 ,52 ,47 ,48 ,45 ,39 ,45 ,41 ,43 ,36 ,48 ,54 ,60 ,61 ,55 ,53 ,53 
PC,PARL,DK,50 ,58 ,59 ,55 ,60 ,58 ,62 ,70 ,63 ,64 ,67 ,60 ,67 ,60 ,59 ,58 ,51 ,60 ,62 ,72 ,69 ,67 ,64 
PC,PARL,EE,: ,: ,: ,: ,62 ,49 ,59 ,61 ,61 ,65 ,62 ,53 ,57 ,57 ,49 ,45 ,48 ,50 ,51 ,58 ,60 ,62 ,60 
PC,PARL,EL,60 ,62 ,61 ,67 ,66 ,62 ,70 ,77 ,59 ,60 ,38 ,32 ,28 ,28 ,32 ,26 ,28 ,30 ,37 ,47 ,38 ,43 ,44 
PC,PARL,ES,71 ,63 ,64 ,62 ,64 ,52 ,51 ,62 ,57 ,53 ,39 ,33 ,25 ,23 ,28 ,27 ,33 ,41 ,37 ,46 ,39 ,42 ,40 
PC,PARL,EU27_2020,: ,: ,: ,: ,60 e,55 e,56 e,58 e,54 e,53 e,51 e,44 e,46 e,41 e,43 e,40 e,44 e,47 e,50 ,54 ,48 ,50 ,50 
PC,PARL,EU28,53 ,57 ,59 ,54 ,57 ,51 ,52 ,55 ,51 ,50 ,48 ,41 ,44 ,39 ,42 ,38 ,42 ,45 ,48 ,51 ,: ,: ,: 
PC,PARL,FI,51 ,55 ,57 ,58 ,63 ,52 ,56 ,53 ,59 ,61 ,54 ,56 ,57 ,54 ,59 ,54 ,61 ,63 ,63 ,70 ,59 ,57 ,52 
PC,PARL,FR,55 ,59 ,62 ,54 ,59 ,49 ,50 ,58 ,52 ,44 ,46 ,40 ,47 ,38 ,38 ,33 ,34 ,39 ,40 ,39 ,36 ,38 ,33 
PC,PARL,HR,: ,: ,: ,: ,52 ,47 ,46 ,40 ,39 ,36 ,41 ,39 ,40 ,44 ,45 ,53 ,46 ,50 ,50 ,52 ,57 ,55 ,54 
PC,PARL,HU,: ,: ,: ,: ,68 ,62 ,65 ,67 ,59 ,60 ,68 ,56 ,57 ,58 ,52 ,51 ,50 ,53 ,56 ,67 ,58 ,64 ,61 
PC,PARL,IE,66 ,70 ,71 ,63 ,70 ,60 ,66 ,63 ,54 ,54 ,50 ,53 ,43 ,42 ,43 ,45 ,54 ,54 ,57 ,59 ,79 ,76 ,64 
PC,PARL,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,54 ,44 ,46 ,52 ,59 ,: ,: ,: ,: ,: ,: ,: ,: 
PC,PARL,IT,71 ,72 ,74 ,69 ,63 ,61 ,56 ,53 ,53 ,54 ,55 ,45 ,43 ,36 ,39 ,40 ,38 ,42 ,44 ,47 ,38 ,49 ,54 
PC,PARL,LT,: ,: ,: ,: ,66 ,55 ,60 ,57 ,57 ,52 ,57 ,51 ,56 ,53 ,61 ,60 ,61 ,59 ,57 ,69 ,57 ,69 ,53 
PC,PARL,LU,66 ,75 ,75 ,66 ,71 ,68 ,63 ,65 ,64 ,66 ,64 ,60 ,60 ,59 ,58 ,60 ,64 ,62 ,60 ,67 ,64 ,66 ,57 
PC,PARL,LV,: ,: ,: ,: ,45 ,44 ,47 ,44 ,41 ,41 ,45 ,38 ,43 ,40 ,48 ,41 ,44 ,47 ,47 ,50 ,51 ,60 ,47 
PC,PARL,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,52 ,43 ,41 ,43 ,46 ,47 ,: ,59 ,: ,: ,: ,: 
PC,PARL,MK,: ,: ,: ,: ,: ,: ,: ,57 ,49 ,45 ,44 ,39 ,40 ,40 ,42 ,41 ,44 ,: ,50 ,: ,: ,: ,: 
PC,PARL,MT,: ,: ,: ,: ,58 ,63 ,59 ,63 ,64 ,58 ,53 ,48 ,55 ,54 ,58 ,55 ,54 ,54 ,55 ,59 ,41 ,64 ,64 
PC,PARL,NL,54 ,62 ,65 ,59 ,63 ,53 ,58 ,61 ,58 ,60 ,63 ,50 ,55 ,47 ,53 ,50 ,52 ,58 ,63 ,67 ,62 ,65 ,57 
PC,PARL,PL,: ,: ,: ,: ,51 ,49 ,59 ,60 ,52 ,51 ,57 ,51 ,60 ,51 ,52 ,43 ,51 ,43 ,54 ,55 ,52 ,52 ,55 
PC,PARL,PT,56 ,59 ,59 ,56 ,64 ,67 ,61 ,63 ,57 ,63 ,55 ,44 ,46 ,33 ,44 ,43 ,48 ,49 ,55 ,60 ,55 ,80 ,70 
PC,PARL,RO,: ,: ,: ,: ,65 ,68 ,64 ,72 ,63 ,65 ,60 ,61 ,55 ,49 ,60 ,59 ,55 ,56 ,60 ,67 ,62 ,55 ,49 
PC,PARL,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,29 ,: ,: ,: ,: 
PC,PARL,SE,44 ,54 ,51 ,52 ,55 ,48 ,58 ,57 ,57 ,57 ,60 ,59 ,58 ,56 ,56 ,59 ,59 ,65 ,69 ,72 ,66 ,64 ,61 
PC,PARL,SI,: ,: ,: ,: ,66 ,61 ,73 ,63 ,62 ,46 ,49 ,43 ,48 ,37 ,41 ,30 ,32 ,38 ,38 ,44 ,46 ,52 ,43 
PC,PARL,SK,: ,: ,: ,: ,70 ,65 ,71 ,70 ,70 ,71 ,76 ,58 ,54 ,56 ,50 ,41 ,46 ,46 ,46 ,49 ,48 ,48 ,43 
PC,PARL,TR,: ,: ,: ,: ,41 ,36 ,34 ,20 ,19 ,27 ,14 ,14 ,21 ,30 ,21 ,41 ,34 ,: ,29 ,: ,: ,: ,: 
PC,PARL,UK,28 ,37 ,34 ,31 ,39 ,27 ,25 ,25 ,27 ,25 ,23 ,18 ,24 ,20 ,27 ,26 ,32 ,32 ,33 ,33 ,: ,: ,: 
